SITE_ID,VISIT_NO,UID,DATE_COL,AREA_HA,DSGN12,ELEVATION,EPA_REG,EVALSTAT,HUC2,HUC8,LAKE_ORIGIN,LAKE_ORIGIN12,LAT_DD83,LON_DD83,PERIM_KM,SITEID_07,ST_SITEID,STATUS,ECO_LEV_3,ECO_LEV_3_2015,ECO_LEV_4,ECO_LEV_4_2015,XCOORD,YCOORD
NLA12_AL-113,1,7769,8/8/2012,29.40501835,Included,13.99,Region_4,TargetSampleable,3,3160204,MAN_MADE,RESERVOIR,30.97184148,-88.0527428,3.81355553,,NLA12_AL-113,Target_Sampled,65,65,65f,65f,756068.3337,-697819.2195
NLA12_AL-114,1,7459,7/26/2012,18.10471487,Included,171.04,Region_4,TargetSampleable,3,3150106,MAN_MADE,RESERVOIR,33.88200988,-85.9316179,3.585987135,,NLA12_AL-114,Target_Sampled,67,67,67g,67g,922876.9685,-356061.8371
NLA12_AL-R03,1,7291,7/18/2012,22.42053898,Excluded,317.68,Region_4,TargetSampleable,3,3150109,MAN_MADE,MAN_MADE,33.32192301,-85.81071637,4.766510605,NLA06608-1871,NLA12_AL-R03,Target_Sampled,45,45,45a,45a,940611.5175,-417082.6656
NLA12_AL-R05,1,7376,7/21/2012,91.03472955,Included,71.04,Region_4,TargetSampleable,3,3160113,MAN_MADE,MAN_MADE,33.28949519,-87.68596227,11.21361901,NLA06608-4509,NLA12_AL-R05,Target_Sampled,65,65,65i,65i,768308.7168,-437547.5639
NLA12_AR-101,1,7392,7/23/2012,105.7849996,Included,74.14,Region_6,TargetSampleable,11,11110207,MAN_MADE,RESERVOIR,34.53435079,-92.26882632,9.08146137,NLA06608-1808,NLA12_AR-101,Target_Sampled,35,35,35a,35a,339693.0075,-325402.8385
NLA12_AR-101,2,8021,8/17/2012,105.7849996,Included,74.14,Region_6,TargetSampleable,11,11110207,MAN_MADE,RESERVOIR,34.53435079,-92.26882632,9.08146137,NLA06608-1808,NLA12_AR-101,Target_Sampled,35,35,35a,35a,339693.0075,-325402.8385
NLA12_AR-102,1,8144,8/21/2012,95.89252695,Included,69.01,Region_6,TargetSampleable,8,8020302,MAN_MADE,RESERVOIR,35.58318947,-90.96294056,3.883137271,NLA06608-0208,NLA12_AR-102,Target_Sampled,73,73,73g,73g,452269.0854,-202728.2053
NLA12_AR-103,1,8217,8/24/2012,2428.921192,Included,118.4,Region_6,TargetSampleable,8,8040101,MAN_MADE,RESERVOIR,34.41755034,-93.07012469,180.208525,NLA06608-1204,NLA12_AR-103,Target_Sampled,36,36,36b,36b,267170.1912,-341014.3283
NLA12_AR-104,1,7812,8/9/2012,44.682124,Included,203.73,Region_6,TargetSampleable,11,11110202,MAN_MADE,RESERVOIR,35.5624593,-93.63756822,4.738604684,NLA06608-1484,NLA12_AR-104,Target_Sampled,37,37,37c,37c,212253.9491,-214399.1481
NLA12_AR-105,1,7409,7/24/2012,7.29500254,Included,55.37,Region_6,TargetSampleable,8,8040206,MAN_MADE,RESERVOIR,33.07556301,-92.66059625,1.551513244,,NLA12_AR-105,Target_Sampled,35,35,35a,35a,309767.1491,-489615.7372
NLA12_AR-105,2,8022,8/16/2012,7.29500254,Included,55.37,Region_6,TargetSampleable,8,8040206,MAN_MADE,RESERVOIR,33.07556301,-92.66059625,1.551513244,,NLA12_AR-105,Target_Sampled,35,35,35a,35a,309767.1491,-489615.7372
NLA12_AR-106,1,8121,8/20/2012,222.5927542,Included,82.69,Region_6,TargetSampleable,11,11010009,MAN_MADE,RESERVOIR,36.06720319,-91.14242843,17.23630001,,NLA12_AR-106,Target_Sampled,39,39,39d,39d,433398.5805,-149444.0312
NLA12_AR-107,1,1000181,8/28/2012,62.35713698,Included,42.28,Region_6,Nontarget-TooShallow,8,8020303,MAN_MADE,MAN_MADE,34.15969851,-91.06794934,8.390642771,,NLA12_AR-107,Lake_Shallow,73,73,73g,73g,451109.8208,-362251.8565
NLA12_AR-108,1,1000182,8/28/2012,6.393528636,Included,30.42,Region_6,Nontarget-MapError,8,8050002,,,33.1461337,-91.25357855,1.231512011,,NLA12_AR-108,Not_Lake,73,73,73d,73d,439798.1204,-476196.5356
NLA12_AR-109,1,7811,8/8/2012,4.149225261,Included,107.3,Region_6,TargetSampleable,11,11140109,MAN_MADE,MAN_MADE,33.81796398,-94.05998348,1.003458503,,NLA12_AR-109,Target_Sampled,35,35,35h,35h,178290.4669,-410331.5417
NLA12_AR-110,1,1000183,8/28/2012,68.09260195,Included,64.95,Region_6,Nontarget-MapError,8,8020401,MAN_MADE,MAN_MADE,34.49339339,-91.93537803,3.338314228,,NLA12_AR-110,Not_Lake,73,73,73i,73i,370228.8433,-328733.6761
NLA12_AR-111,1,8145,8/22/2012,2.061803018,Included,120,Region_6,TargetSampleable,8,8040203,MAN_MADE,MAN_MADE,34.60033557,-92.50069818,0.594248561,,NLA12_AR-111,Target_Sampled,35,35,35a,35a,318321.1587,-318831.5723
NLA12_AZ-101,1,6187,5/8/2012,373.4884097,Included,459,Region_9,TargetSampleable,15,15060106,MAN_MADE,RESERVOIR,33.5692971,-111.5241427,24.14730294,NLA06608-0834,NLA12_AZ-101,Target_Sampled,81,81,81k,81k,-1424971.998,-323283.2067
NLA12_AZ-101,2,6612,6/14/2012,373.4884097,Included,459,Region_9,TargetSampleable,15,15060106,MAN_MADE,RESERVOIR,33.5692971,-111.5241427,24.14730294,NLA06608-0834,NLA12_AZ-101,Target_Sampled,81,81,81k,81k,-1424971.998,-323283.2067
NLA12_AZ-102,1,8648,9/19/2012,119.179815,Included,1567,Region_9,TargetSampleable,15,15060202,MAN_MADE,RESERVOIR,34.60431345,-112.4386225,9.13022933,NLA06608-0569,NLA12_AZ-102,Target_Sampled,23,23,23b,23b,-1488186.587,-195214.5186
NLA12_AZ-103,1,7821,8/9/2012,81.45252873,Included,2168,Region_9,TargetSampleable,15,15020015,MAN_MADE,RESERVOIR,35.02357175,-111.4006586,4.683705075,NLA06608-1641,NLA12_AZ-103,Target_Sampled,23,23,23e,23e,-1387504.841,-164674.9641
NLA12_AZ-104,,,,105.1885899,Included,2142.7,Region_9,TargetOther,14,14080204,MAN_MADE,RESERVOIR,36.27620301,-109.2032708,7.881710586,NLA06608-2372,NLA12_AZ-104,Target_Other,23,23,23j,23j,-1171496.03,-55604.64907
NLA12_AZ-105,,,,49.38286557,Included,2066,Region_9,Inaccessible-Barrier/Safety,15,15020008,MAN_MADE,RESERVOIR,34.78637532,-111.2304201,3.404529751,NLA06608-0873,NLA12_AZ-105,Target_Inacc,23,23,23e,23e,-1376534.313,-193343.0694
NLA12_AZ-106,1,8218,8/23/2012,55.00641968,Included,69.11,Region_9,TargetSampleable,15,15030104,MAN_MADE,MAN_MADE,33.40602291,-114.7138943,10.5125494,NLA06608-0877,NLA12_AZ-106,Target_Sampled,81,81,81g,81g,-1717863.086,-288476.4616
NLA12_AZ-107,1,7475,7/26/2012,529.2331386,Included,1822,Region_9,TargetSampleable,15,15020001,MAN_MADE,RESERVOIR,34.3606808,-109.363087,25.91177862,NLA06608-0895,NLA12_AZ-107,Target_Sampled,22,22,22j,22j,-1215628.377,-265882.8836
NLA12_AZ-108,,,,10.14637002,Included,1756.67,Region_9,Nontarget-Ephemeral,14,14080204,,,36.7262949,-110.2795479,2.321353363,,NLA12_AZ-108,Non_Target,20,20,20d,20d,-1258751.822,8050.929453
NLA12_AZ-109,,,,2.524544732,Included,2822.09,Region_9,Nontarget-Ephemeral,15,15020001,,,33.97999027,-109.313073,0.590002864,,NLA12_AZ-109,Non_Target,23,23,23d,23d,-1217050.393,-308658.8444
NLA12_AZ-110,,,,10.90748612,Included,1723.06,Region_9,Nontarget-NoRecAquatUse,15,15060101,MAN_MADE,MAN_MADE,33.62503157,-110.227374,1.483531096,,NLA12_AZ-110,Lake_Special_Purpose,23,23,23b,23b,-1305943.818,-335766.2554
NLA12_AZ-111,,,,1.901674064,Included,2157.43,Region_9,Nontarget-NoRecAquatUse,15,15060202,MAN_MADE,MAN_MADE,35.21799283,-111.8357564,0.592703922,,NLA12_AZ-111,Lake_Special_Purpose,23,23,23c,23c,-1422737.6,-136779.3633
NLA12_AZ-112,,,,1.639144554,Included,978.52,Region_9,TargetOther,15,15040005,MAN_MADE,MAN_MADE,32.72025402,-109.704908,0.520145826,,NLA12_AZ-112,Target_Other,24,24,24a,24a,-1272840.525,-442767.0477
NLA12_AZ-113,,,,4.284180263,Included,2792.49,Region_9,Nontarget-TooSmall,15,15020001,,,34.00425647,-109.3354542,1.215046703,,NLA12_AZ-113,Lake_LT_1ha,23,23,23c,23c,-1218703.693,-305686.7149
NLA12_AZ-114,,,,3.561658573,Included,873.56,Region_9,Nontarget-Ephemeral,15,15040007,,,33.37842471,-110.521809,0.755524371,,NLA12_AZ-114,Non_Target,81,81,81l,81l,-1336954.019,-358899.6675
NLA12_AZ-115,,,,5.358829274,Included,1373,Region_9,Nontarget-Ephemeral,15,15060202,,,34.81490774,-112.4670894,1.084518125,,NLA12_AZ-115,Non_Target,22,22,22z,22z,-1486676.676,-171565.7972
NLA12_AZ-116,,,,8.796521678,Included,428.23,Region_9,Nontarget-Ephemeral,15,15050303,,,32.93340836,-111.6471482,1.659962444,,NLA12_AZ-116,Non_Target,81,81,81n,81n,-1447797.128,-391464.2893
NLA12_AZ-117,,,,7.294011812,Included,2696.49,Region_9,AccessDenied,15,15060102,MAN_MADE,RESERVOIR,34.02942949,-109.6210623,1.162041853,,NLA12_AZ-117,Target_Denied,23,23,23c,23c,-1244225.978,-299200.6202
NLA12_AZ-118,1,6192,5/9/2012,8.007210087,Included,365.97,Region_9,TargetSampleable,15,15060106,MAN_MADE,MAN_MADE,33.38131121,-111.883581,2.713057747,,NLA12_AZ-118,Target_Sampled,81,81,81n,81n,-1461153.429,-338533.4622
NLA12_AZ-119,,,,1.897439226,Included,139.33,Region_9,Nontarget-NotLake,15,15030101,NATURAL,NATURAL,34.76270414,-114.5202856,0.633792907,,NLA12_AZ-119,Not_Lake,14,14,14e,14e,-1670953.37,-143195.3356
NLA12_AZ-120,,,,1.550913005,Included,1385.46,Region_9,Nontarget-Ephemeral,15,15040006,,,31.63576083,-109.082647,0.475900445,,NLA12_AZ-120,Non_Target,79,79,79a,79a,-1232009.214,-570638.4447
NLA12_AZ-121,,,,2.052100389,Included,1900.03,Region_9,Nontarget-NoRecAquatUse,15,15060101,MAN_MADE,MAN_MADE,33.48233976,-109.9496887,0.589620217,,NLA12_AZ-121,Lake_Special_Purpose,23,23,23b,23b,-1282971.043,-355311.3734
NLA12_AZ-122,,,,35.92895576,Included,1445.68,Region_9,Nontarget-NotLake,15,15020008,,,35.26957784,-110.8631424,3.102828195,,NLA12_AZ-122,Not_Lake,22,22,22p,22p,-1335192.757,-145194.5359
NLA12_AZ-123,1,8219,8/24/2012,18.87422654,Included,57.69,Region_9,TargetSampleable,15,15030104,NATURAL,NATURAL_ENH,33.0266436,-114.5090632,3.259236986,,NLA12_AZ-123,Target_Sampled,81,81,81g,81g,-1707496.905,-333711.4927
NLA12_AZ-124,,,,5.324951816,Included,1225.29,Region_9,Nontarget-NoRecAquatUse,14,14070006,MAN_MADE,MAN_MADE,36.91343291,-111.4861343,0.931095824,,NLA12_AZ-124,Lake_Special_Purpose,20,20,20d,20d,-1360805.719,45391.38706
NLA12_AZ-125,,,,15.50514181,Included,2835.7,Region_9,Nontarget-Ephemeral,15,15020001,,,33.94275065,-109.4828533,2.274265134,,NLA12_AZ-125,Non_Target,23,23,23i,23i,-1233056.159,-310590.5806
NLA12_AZ-126,,,,2.555818157,Included,1763.93,Region_9,Nontarget-NoRecAquatUse,15,15040007,MAN_MADE,MAN_MADE,33.66822038,-110.4468803,0.600417306,,NLA12_AZ-126,Lake_Special_Purpose,23,23,23b,23b,-1325207.654,-327957.8919
NLA12_AZ-127,1,6281,5/23/2012,24.76589448,Included,2072.07,Region_9,TargetSampleable,15,15010004,MAN_MADE,RESERVOIR,35.28501346,-112.1541634,3.780921415,,NLA12_AZ-127,Target_Sampled,23,23,23c,23c,-1449802.217,-124572.6661
NLA12_AZ-128,,,,2.087395774,Included,1523.88,Region_9,Nontarget-Ephemeral,15,15040005,,,33.21395147,-109.8332003,0.66845756,,NLA12_AZ-128,Non_Target,79,79,79e,79e,-1276680.365,-386528.6647
NLA12_AZ-129,,,,21.67457958,Included,2756.05,Region_9,Inaccessible-Effort,15,15060101,NATURAL,NATURAL,33.91647418,-109.435219,2.607011102,NLA06608-0543,NLA12_AZ-129,Target_Inacc,23,23,23i,23i,-1229142.682,-314114.6034
NLA12_AZ-130,1,6195,5/10/2012,622.6993198,Included,533.25,Region_9,TargetSampleable,15,15060203,MAN_MADE,RESERVOIR,33.84530018,-111.6185016,48.18706487,NLA06608-4627,NLA12_AZ-130,Target_Sampled,81,81,81k,81k,-1428510.701,-291445.7813
NLA12_AZ-130,2,8198,8/22/2012,622.6993198,Included,533.25,Region_9,TargetSampleable,15,15060203,MAN_MADE,RESERVOIR,33.84530018,-111.6185016,48.18706487,NLA06608-4627,NLA12_AZ-130,Target_Sampled,81,81,81k,81k,-1428510.701,-291445.7813
NLA12_AZ-131,,,,13.13167755,Included,352.89,Region_9,AccessDenied,15,15070102,MAN_MADE,MAN_MADE,33.60760953,-112.2848192,2.821305293,NLA06608-3305,NLA12_AZ-131,Target_Denied,81,81,81n,81n,-1493396.733,-307383.7184
NLA12_AZ-132,,,,0.828665064,Included,839.42,Region_9,Nontarget-Vegetated,15,15040005,,,32.984399,-109.9412408,0.384157956,,NLA12_AZ-132,Lake_Vegetated,24,24,24a,24a,-1290325.49,-410418.7658
NLA12_AZ-133,,,,15.9863368,Included,2508,Region_9,AccessDenied,15,15060102,MAN_MADE,MAN_MADE,33.91124585,-109.7317698,2.553597433,NLA06608-4587,NLA12_AZ-133,Target_Denied,23,23,23c,23c,-1256170.215,-310815.1823
NLA12_AZ-134,,,,100.8612197,Included,1946.09,Region_9,Inaccessible-Barrier/Safety,15,15020010,MAN_MADE,MAN_MADE,34.49721809,-110.8247241,11.67887594,NLA06608-4707,NLA12_AZ-134,Target_Inacc,23,23,23c,23c,-1345193.796,-231089.4487
NLA12_AZ-135,,,,15.94101411,Included,145.16,Region_9,Nontarget-Ephemeral,15,15030101,,,34.92945404,-114.6258019,5.274967521,,NLA12_AZ-135,Non_Target,14,14,14e,14e,-1676718.823,-123038.0257
NLA12_AZ-136,,,,2.290843457,Included,1429.05,Region_9,Nontarget-TooSmall,15,15080301,,,31.36317903,-109.870035,0.6749657,,NLA12_AZ-136,Lake_LT_1ha,79,79,79a,79a,-1310059.186,-590145.7714
NLA12_AZ-137,,,,8.620146714,Included,1913.83,Region_9,Nontarget-NoRecAquatUse,15,15060101,MAN_MADE,MAN_MADE,33.69413235,-109.8717562,1.334653993,,NLA12_AZ-137,Lake_Special_Purpose,23,23,23b,23b,-1272413.754,-332955.4787
NLA12_AZ-138,,,,6.777923322,Included,1447.04,Region_9,Nontarget-MapError,15,15020008,,,35.25973579,-110.8209165,1.18649677,,NLA12_AZ-138,Not_Lake,22,22,22p,22p,-1331601.434,-146875.0604
NLA12_AZ-139,,,,2.725804415,Included,60.82,Region_9,Inaccessible-Barrier/Safety,15,15030104,NATURAL,NATURAL,33.03287712,-114.6233405,0.799102853,,NLA12_AZ-139,Target_Inacc,81,81,81g,81g,-1717768.873,-330969.5811
NLA12_AZ-140,1,7290,7/19/2012,5.897283111,Included,1006.44,Region_9,TargetSampleable,15,15040005,MAN_MADE,MAN_MADE,32.8056793,-109.8626777,1.093999706,,NLA12_AZ-140,Target_Sampled,79,79,79a,79a,-1286004.617,-431212.9491
NLA12_AZ-141,,,,6.389481946,Included,2828.49,Region_9,Nontarget-Ephemeral,15,15060101,,,33.95224152,-109.338336,1.099884179,,NLA12_AZ-141,Non_Target,23,23,23i,23i,-1219778.519,-311405.5297
NLA12_AZ-142,,,,87.18323332,Included,1018.85,Region_9,Nontarget-NoRecAquatUse,15,15060103,MAN_MADE,MAN_MADE,33.43731387,-110.8395428,6.67916123,NLA06608-4803,NLA12_AZ-142,Lake_Special_Purpose,23,23,23h,23h,-1364948.002,-347885.0937
NLA12_AZ-143,1,8320,8/30/2012,16.72327332,Included,1997.64,Region_9,TargetSampleable,15,15060202,MAN_MADE,MAN_MADE,35.11670652,-112.0134231,2.795297277,,NLA12_AZ-143,Target_Sampled,23,23,23c,23c,-1440450.117,-145278.548
NLA12_AZ-144,,,,29.53782594,Included,1836.61,Region_9,Nontarget-NoRecAquatUse,15,15040005,MAN_MADE,MAN_MADE,33.35639573,-109.675053,2.855796901,,NLA12_AZ-144,Lake_Special_Purpose,23,23,23b,23b,-1259905.629,-372901.7129
NLA12_AZ-145,1,8016,8/14/2012,48.4485317,Included,2403.42,Region_9,TargetSampleable,15,15040004,MAN_MADE,RESERVOIR,33.8293043,-109.090421,5.384258583,NLA06608-4744,NLA12_AZ-145,Target_Sampled,23,23,23c,23c,-1199138.144,-328165.4046
NLA12_AZ-146,,,,11.25086571,Included,479.97,Region_9,Nontarget-NoRecAquatUse,15,15060203,MAN_MADE,MAN_MADE,33.60270971,-111.712105,1.582671445,,NLA12_AZ-146,Lake_Special_Purpose,81,81,81k,81k,-1441454.423,-316766.7079
NLA12_AZ-147,,,,1.70906564,Included,384.25,Region_9,Nontarget-NoRecAquatUse,15,15050100,MAN_MADE,MAN_MADE,33.34310919,-111.9769308,0.728314969,,NLA12_AZ-147,Lake_Special_Purpose,81,81,81n,81n,-1470373.772,-341299.5805
NLA12_AZ-148,,,,2.65794742,Included,856.08,Region_9,Nontarget-NoRecAquatUse,15,15050301,MAN_MADE,MAN_MADE,31.88378415,-110.9780552,0.912439376,,NLA12_AZ-148,Lake_Special_Purpose,81,81,81l,81l,-1404780.868,-517019.3643
NLA12_AZ-149,,,,5.706204515,Included,1822.92,Region_9,Nontarget-NoRecAquatUse,15,15040005,MAN_MADE,MAN_MADE,33.41995911,-109.7097961,1.070138253,,NLA12_AZ-149,Lake_Special_Purpose,23,23,23b,23b,-1262063.944,-365416.3871
NLA12_AZ-150,,,,11.35043923,Included,2066.85,Region_9,Inaccessible-Barrier/Safety,15,15020008,MAN_MADE,MAN_MADE,34.79685877,-111.2335439,1.388899171,,NLA12_AZ-150,Target_Inacc,23,23,23e,23e,-1376627.042,-192140.1589
NLA12_AZ-151,,,,2.598098251,Included,55.13,Region_9,Nontarget-NotLake,15,15030107,MAN_MADE,MAN_MADE,32.79576558,-114.4960724,0.773396458,,NLA12_AZ-151,Not_Lake,81,81,81g,81g,-1711296.232,-359221.3489
NLA12_AZ-152,,,,1.732561604,Included,1921.31,Region_9,Nontarget-NoRecAquatUse,14,14080204,MAN_MADE,MAN_MADE,36.61599025,-110.4806243,0.846435822,,NLA12_AZ-152,Lake_Special_Purpose,22,22,22q,22q,-1278216.104,-1481.462999
NLA12_AZ-153,,,,13.98189069,Included,2055.19,Region_9,Inaccessible-Barrier/Safety,15,15020002,MAN_MADE,MAN_MADE,34.27396535,-109.6766716,1.6469452,,NLA12_AZ-153,Target_Inacc,23,23,23e,23e,-1245350.395,-271419.598
NLA12_AZ-154,,,,8.328733734,Included,2200.23,Region_9,Nontarget-Ephemeral,15,15020015,NATURAL,NATURAL,35.0984601,-111.530892,1.206721338,,NLA12_AZ-154,Non_Target,23,23,23c,23c,-1397770.542,-154497.7776
NLA12_AZ-155,,,,36.07651429,Included,78.38,Region_9,Nontarget-NotLake,15,15030104,,,33.57273344,-114.5342156,11.03734516,,NLA12_AZ-155,Not_Lake,81,81,81g,81g,-1697971.784,-273443.4303
NLA12_AZ-156,,,,9.725244352,Included,913,Region_9,Nontarget-Ephemeral,15,15040005,UNCERTAIN,UNCERTAIN,32.78969299,-109.6890611,1.419938214,,NLA12_AZ-156,Non_Target,24,24,24a,24a,-1270266.941,-435312.8225
NLA12_AZ-157,1,8251,8/17/2012,17.28230542,Included,2519.09,Region_9,TargetSampleable,15,15020001,MAN_MADE,MAN_MADE,34.03125525,-109.4431103,1.614787909,,NLA12_AZ-157,Target_Sampled,23,23,23c,23c,-1228051.344,-301313.3346
NLA12_AZ-R01,1,8183,8/22/2012,24.13835303,Excluded,2220,Region_9,TargetSampleable,15,15020008,MAN_MADE,MAN_MADE,34.42742317,-111.0867324,5.230721276,NLA06608-2217,NLA12_AZ-R01,Target_Sampled,23,23,23c,23c,-1370003.879,-235054.6013
NLA12_AZ-R02,1,8153,8/21/2012,5.148899319,Excluded,2041.82,Region_9,TargetSampleable,15,15020005,MAN_MADE,MAN_MADE,34.16108989,-109.9796571,0.908339408,,NLA12_AZ-R02,Target_Sampled,23,23,23c,23c,-1274591.582,-279887.3815
NLA12_CA-101,1,7020,7/9/2012,335.3416647,Included,51.12,Region_9,TargetSampleable,18,18050005,MAN_MADE,RESERVOIR,38.07832575,-122.7433592,32.51425567,NLA06608-1781,NLA12_CA-101,Target_Sampled,6,6,6o,6o,-2293153.367,389622.7836
NLA12_CA-101,2,8759,9/24/2012,335.3416647,Included,51.12,Region_9,TargetSampleable,18,18050005,MAN_MADE,RESERVOIR,38.07832575,-122.7433592,32.51425567,NLA06608-1781,NLA12_CA-101,Target_Sampled,6,6,6o,6o,-2293153.367,389622.7836
NLA12_CA-102,1,8264,8/28/2012,731.021414,Included,818.28,Region_9,TargetSampleable,18,18070303,MAN_MADE,RESERVOIR,33.23504244,-116.7444419,20.2000769,NLA06608-1397,NLA12_CA-102,Target_Sampled,8,8,8e,8e,-1905572.072,-268446.5224
NLA12_CA-103,1,7916,8/13/2012,574.7253533,Included,1592.46,Region_9,TargetSampleable,18,18020128,MAN_MADE,RESERVOIR,39.11326334,-120.4389061,14.56207055,NLA06608-0201,NLA12_CA-103,Target_Sampled,5,5,5d,5d,-2070639.438,448540.246
NLA12_CA-104,1,8483,9/11/2012,118.8169149,Included,2323.16,Region_9,TargetSampleable,18,18090101,NATURAL,NATURAL,37.78873902,-119.0738863,4.627384423,NLA06608-0181,NLA12_CA-104,Target_Sampled,5,5,5i,5i,-1993028.56,275507.7375
NLA12_CA-105,1,7126,7/11/2012,21.36925395,Included,3.21,Region_9,TargetSampleable,18,18020109,MAN_MADE,MAN_MADE,38.50847142,-121.5353649,3.719279733,NLA06608-1269,NLA12_CA-105,Target_Sampled,7,7,7e,7e,-2179338.637,407598.6896
NLA12_CA-106,1,6250,5/22/2012,62.78533719,Included,-53.27,Region_9,TargetSampleable,18,18100200,MAN_MADE,MAN_MADE,33.07900474,-115.512784,3.204951638,NLA06608-0173,NLA12_CA-106,Target_Sampled,81,81,81f,81f,-1797629.851,-309473.4971
NLA12_CA-107,1,8466,9/10/2012,70.01844691,Included,2227.25,Region_9,TargetSampleable,18,18040010,MAN_MADE,MAN_MADE,38.47629345,-119.9996916,5.032435184,NLA06608-0649,NLA12_CA-107,Target_Sampled,5,5,5c,5c,-2052066.966,369924.5545
NLA12_CA-108,1,7796,8/8/2012,69.77191048,Included,300.34,Region_9,TargetSampleable,18,18040006,MAN_MADE,MAN_MADE,37.14922318,-119.5111573,9.869399505,NLA06608-0693,NLA12_CA-108,Target_Sampled,6,6,6c,6c,-2047582.569,215275.9638
NLA12_CA-109,,,,2.148125223,Included,25.07,Region_9,Nontarget-NoRecAquatUse,18,18010110,,,38.39202277,-122.7824245,0.600751355,,NLA12_CA-109,Lake_Special_Purpose,6,6,6l,6l,-2286635.542,424339.9078
NLA12_CA-110,,,,6.713864315,Included,3180.82,Region_9,Inaccessible-Barrier/Safety,18,18030010,NATURAL,NATURAL,36.99547226,-118.7179602,1.165639641,,NLA12_CA-110,Target_Inacc,5,5,5a,5a,-1983927.119,181730.0825
