VISIT_NO,EPA_REG,ECO3,ECO3_NAM,NUT_REG,NUTREG_NAME,ECO_NUTA,ECO3_X_ORIGIN,HUC2,HUC8,SITEID_07,LON_DD,LAT_DD,STATE,CNTYNAME,LAKE_ORIGIN,LakeArea,LakePerim,LakeDepth,LakeEleva,DATE,Silica,DOC,NTL,PTL,pH,Cond,Temp,Sol
1,Region_2,84,Atlantic Coastal Pine Barrens,XIV,Eastern Coastal Plain,CPL,PLNLOW MAN-MADE,2,2040202,NLA06608-0013,-74.56255123,39.97428,NJ,BURLINGTON,MAN-MADE,37.14025576,8.284688178,2.3,15.44,9/4/2007,3103,4790,384,28,5.64,47.52,25.1,5.676535948
1,Region_8,46,Northern Glaciated Plains,VI,Corn Belt and Northern Great Plains,VI,PLNLOW NATURAL,9,9010003,NLA06608-0014,-100.5756807,47.834927,ND,SHERIDAN,NATURAL,12.80952857,1.383813932,1.7,498.4,8/6/2007,7661,41270,4147,175,9.39,8722,21.56,5.440392157
1,Region_6,24,Chihuahuan Deserts,III,Xeric West,III,WMTNS MAN-MADE,13,13030101,NLA06608-0015,-107.2747938,33.007108,NM,SIERRA,MAN-MADE,173.9929805,50.15536722,7,1275.36,7/10/2007,21271,3780,470,109,8.36,743.6,23.575,6.095294118
1,Region_7,44,Nebraska Sand Hills,IV,Great Plains Grass and Shrublands,IVman,PLNLOW MAN-MADE,10,10190018,NLA06608-0016,-100.7797567,41.030252,NE,LINCOLN,MAN-MADE,641.0233086,18.96803762,6.3,916,6/27/2007,6956,4690,490,6,8.48,1060,23.575,6.138366013
1,Region_8,42,Northwestern Glaciated Plains,V,South Central Cultivated Great Plains,V,PLNLOW NATURAL,10,10130104,NLA06608-0019,-99.51185877,46.366888,ND,LOGAN,NATURAL,103.3135279,7.965656888,1.2,600.25,6/11/2007,26392,44990,7047,801,8.4,3327,22.9,5.525816993
1,Region_5,54,Central Corn Belt Plains,VI,Corn Belt and Northern Great Plains,VI,PLNLOW MAN-MADE,5,5120111,NLA06608-0020,-87.81380832,39.408178,IL,CLARK,MAN-MADE,296.2001459,36.78983872,14.9,184.92,6/11/2007,732,5030,605,30,8.43,214.1,15.346667,5.78503268
1,Region_2,83,Eastern Great Lakes and Hudson Lowlands,VII,Mostly Glaciated Dairy Region,VII,EHIGH NATURAL,4,4140201,NLA06608-0021,-77.3095481,42.77192,NY,ONTARIO,NATURAL,4226.925272,56.14938354,53,209.55,7/27/2007,3054,2920,390,7,8.33,366.8,15.2325,5.509411765
1,Region_6,29,Cross Timbers,IX,Southeastern Temperate Forested Plains and Hills,IX,PLNLOW MAN-MADE,12,12070202,NLA06608-0023,-97.745332,31.148492,TX,BELL,MAN-MADE,6.20722172,0.974665509,3,265.85,8/9/2007,4215,3880,349,12,8.16,175.7,29.15,5.38130719
1,Region_6,35,South Central Plains,IX,Southeastern Temperate Forested Plains and Hills,IX,PLNLOW MAN-MADE,12,12020001,NLA06608-0024,-95.48843409,32.12205,TX,SMITH,MAN-MADE,9530.145112,239.2872937,12.9,105.13,7/11/2007,9619,8200,860,35,7.69,181.4,25.928571,5.29751634
1,Region_4,45,Piedmont,IX,Southeastern Temperate Forested Plains and Hills,IX,EHIGH MAN-MADE,3,3050105,NLA06608-0025,-81.34573084,35.201321,NC,CLEVELAND,MAN-MADE,11.48123514,1.982772888,8,245.48,6/18/2007,5669,3430,195,10,7.63,84.96,19.477778,5.560261438
1,Region_3,63,Middle Atlantic Coastal Plain,XIV,Eastern Coastal Plain,CPL,PLNLOW MAN-MADE,2,2040207,NLA06608-0029,-75.21503793,38.756011,DE,SUSSEX,MAN-MADE,73.10037419,11.55985109,1.7,1.87,7/2/2007,2111,4120,2106,247,7.37,141.7,24.625,5.747908497
1,Region_5,70,Western Allegheny Plateau,XI,The Central and Eastern Forested Uplands,XI,EHIGH MAN-MADE,5,5030201,NLA06608-0031,-81.51745185,39.776454,OH,NOBLE,MAN-MADE,24.24953577,5.281606466,4.9,241.93,6/13/2007,4167,3830,428,32,8.28,357.1,18.95,5.732418301
1,Region_10,77,North Cascades,II,Western Forested Mountains,II,WMTNS NATURAL,17,17030001,NLA06608-0033,-121.2990598,47.311084,WA,KITTITAS,NATURAL,15.16448355,1.777959372,1.4,732.43,7/17/2007,10543,10110,835,67,7.54,109.5,20.433333,5.167973856
1,Region_5,72,Interior River Valleys and Hills,IX,Southeastern Temperate Forested Plains and Hills,IX,PLNLOW MAN-MADE,5,5140203,NLA06608-0036,-88.32737922,37.477354,IL,HARDIN,MAN-MADE,12.02760537,1.782974479,5,113.39,7/12/2007,1376,4070,178,8,8.23,133.5,26.883333,5.933398693
1,Region_1,58,Northeastern Highlands,VIII,Nutrient Poor Largely Glaciated Upper Midwest and Northeast,VIII,EHIGH NATURAL,1,1100005,NLA06608-0037,-73.36398551,41.696993,CT,LITCHFIELD,NATURAL,236.955581,14.01149575,13,211.27,7/13/2007,644,3380,239,14,7.15,98.02,16.935714,5.731176471
1,Region_1,58,Northeastern Highlands,VIII,Nutrient Poor Largely Glaciated Upper Midwest and Northeast,VIII,EHIGH NATURAL,1,1110000,NLA06608-0038,-71.86971736,44.797591,VT,ESSEX,NATURAL,220.6478779,7.974503403,11.3,358.73,7/12/2007,3540,3270,158,4,7.62,59.7,16.1,5.095294118
1,Region_3,69,Central Appalachians,XI,The Central and Eastern Forested Uplands,XI,EHIGH MAN-MADE,5,5050005,NLA06608-0041,-80.85405519,38.226941,WV,NICHOLAS,MAN-MADE,1071.509332,100.9848431,43,501.84,6/12/2007,2505,1240,476,1,7.37,82.91,17.730769,5.732091503
1,Region_8,17,Middle Rockies,II,Western Forested Mountains,II,WMTNS MAN-MADE,10,10090206,NLA06608-0042,-107.0403753,44.458235,WY,JOHNSON,MAN-MADE,77.7184868,4.314419055,13.6,2626,6/22/2007,4403.5,4770,229.5,16,6.605,21.53,9.6,6.374379085
1,Region_5,56,Southern Michigan/Northern Indiana Drift Plains,VII,Mostly Glaciated Dairy Region,VII,PLNLOW NATURAL,4,4050001,NLA06608-0043,-85.44424168,41.553395,IN,LAGRANGE,NATURAL,24.24719175,2.957443479,16.5,273.03,7/31/2007,2971,7220,645,9,8.48,438.1,13.311765,5.771503268
1,Region_7,44,Nebraska Sand Hills,IV,Great Plains Grass and Shrublands,IVnat,PLNLOW NATURAL,10,10150004,NLA06608-0044,-101.7024805,42.404845,NE,CHERRY,NATURAL,219.8023543,12.39574206,1.6,1097.9,7/18/2007,2462,16680,4108,601,8.67,274.1,24.575,6.182026144
1,Region_3,45,Piedmont,IX,Southeastern Temperate Forested Plains and Hills,IX,EHIGH MAN-MADE,2,2080207,NLA06608-0045,-77.88986113,37.293205,VA,AMELIA,MAN-MADE,28.83819816,4.086368816,2.1,65.73,6/26/2007,20583,4790,648,54,7.52,103.3,26.133333,5.815816993
1,Region_7,73,Mississippi Alluvial Plain,X,Texas-Louisiana Coastal and Mississippi Alluvial Plains,CPL,PLNLOW NATURAL,8,8020201,NLA06608-0048,-89.17572548,36.787297,MO,MISSISSIPPI,NATURAL,5.61794831,1.079810471,3,92.55,8/2/2007,4164,4770,773,111,8.46,223.9,29.5,5.781960784
1,Region_10,11,Blue Mountains,II,Western Forested Mountains,II,WMTNS MAN-MADE,17,17050201,NLA06608-0049,-117.1533553,45.062327,OR,BAKER,MAN-MADE,12.89054746,1.95649328,3.7,2107.88,8/15/2007,7447,1880,256,15,7.91,91.89,17.575,6.250065359
1,Region_1,58,Northeastern Highlands,VIII,Nutrient Poor Largely Glaciated Upper Midwest and Northeast,VIII,EHIGH NATURAL,1,1070003,NLA06608-0050,-71.80868659,43.446018,NH,MERRIMACK,NATURAL,11.97907093,1.372465095,4.9,196.17,7/2/2007,4906,5140,303,16,7.05,25.53,15.452,5.355751634
1,Region_2,83,Eastern Great Lakes and Hudson Lowlands,VII,Mostly Glaciated Dairy Region,VII,EHIGH NATURAL,2,2010001,NLA06608-0053,-73.43960723,43.558193,NY,ESSEX,NATURAL,470.73915,23.455266,5.3,28.85,8/23/2007,3359,2880,246,29,8.02,196,21.15,5.474117647
1,Region_4,45,Piedmont,IX,Southeastern Temperate Forested Plains and Hills,IX,EHIGH MAN-MADE,3,3040105,NLA06608-0057,-80.51686138,34.961892,NC,UNION,MAN-MADE,53.02839363,9.688983502,3.7,149.57,6/16/2007,1269,9700,1756,218,7.5,158.3,24.36,5.862679739
1,Region_9,81,Sonoran Basin and Range,III,Xeric West,III,WMTNS MAN-MADE,15,15030204,NLA06608-0061,-113.5793644,34.245582,AZ,MOHAVE,MAN-MADE,572.3287327,23.93314962,15.3,335,6/12/2007,16750,6100,488,19.5,8.5,777.6,18.764706,6.776601307
1,Region_8,42,Northwestern Glaciated Plains,V,South Central Cultivated Great Plains,V,PLNLOW NATURAL,10,10130103,NLA06608-0062,-99.74629427,47.32068,ND,KIDDER,NATURAL,54.29856165,2.944960258,2.7,562.29,8/9/2007,14069,28530,2834,152,8.98,3835,21.333333,5.399803922
1,Region_8,42,Northwestern Glaciated Plains,V,South Central Cultivated Great Plains,V,PLNLOW NATURAL,10,10050002,NLA06608-0064,-112.1680165,48.894061,MT,TOOLE,NATURAL,25.20779145,2.061268745,2.5,1208,6/18/2007,22655,33650,3366,2047,8.7,2504,13.122,5.778366013
1,Region_8,15,Northern Rockies,II,Western Forested Mountains,II,WMTNS NATURAL,17,17010101,NLA06608-0065,-115.116608,48.962434,MT,LINCOLN,NATURAL,89.52258877,7.365625253,17.1,766.43,7/17/2007,4508,1300,70.5,1,8.405,195.65,14.727778,5.691960784
1,Region_3,69,Central Appalachians,XI,The Central and Eastern Forested Uplands,XI,EHIGH MAN-MADE,5,5020006,NLA06608-0066,-79.38081778,39.768514,PA,SOMERSET,MAN-MADE,1094.588775,59.92548558,20.5,439.26,6/12/2007,1970,1630,665,7,7.36,114.6,14.568182,5.627124183
1,Region_8,21,Southern Rockies,II,Western Forested Mountains,II,WMTNS MAN-MADE,14,14030003,NLA06608-0068,-107.8853911,37.824476,CO,SAN MIGUEL,MAN-MADE,50.09896936,3.228855235,18.6,2959.6,7/9/2007,6286,1120,168,1,7.9,190.4,8.142105,6.555294118
1,Region_4,75,Southern Coastal Plain,XII,Southeastern Coastal Plain,CPL,PLNLOW NATURAL,3,3080101,NLA06608-0069,-81.13759704,28.63736,FL,SEMINOLE,NATURAL,24.47044676,2.398919112,3.4,11.26,7/18/2007,1233,13240,420,39,7.24,145.9,30.775,5.46496732
1,Region_6,73,Mississippi Alluvial Plain,X,Texas-Louisiana Coastal and Mississippi Alluvial Plains,CPL,PLNLOW NATURAL,8,8060100,NLA06608-0071,-91.50916933,31.66684,LA,CONCORDIA,NATURAL,460.2095294,30.10842622,5.3,15.17,9/6/2007,14414.5,8025,2405,407,8.755,243.45,30.146667,5.480784314
1,Region_6,29,Cross Timbers,IX,Southeastern Temperate Forested Plains and Hills,IX,PLNLOW MAN-MADE,12,12070201,NLA06608-0072,-98.40515204,32.237662,TX,ERATH,MAN-MADE,9.127076417,1.325295227,5.7,429.56,7/26/2007,7220,9180,1724,174,8.96,224.1,24.185714,5.489084967
1,Region_9,13,Central Basin and Range,III,Xeric West,III,WMTNS MAN-MADE,16,16050203,NLA06608-0073,-118.878391,39.52477,NV,CHURCHILL,MAN-MADE,152.2446927,4.905570351,28,1216.87,6/12/2007,6711,22250,1055,4679,9.45,26620,10.92,7.308366013
1,Region_7,40,Central Irregular Plains,IX,Southeastern Temperate Forested Plains and Hills,IX,PLNLOW MAN-MADE,10,10240012,NLA06608-0076,-94.49793062,39.414413,MO,CLINTON,MAN-MADE,3008.068118,176.162583,9.2,264.36,7/27/2007,717,5100,436,24,8.37,254.1,26.054545,5.515947712
1,Region_2,58,Northeastern Highlands,VIII,Nutrient Poor Largely Glaciated Upper Midwest and Northeast,VIII,EHIGH MAN-MADE,2,2030103,NLA06608-0077,-74.53388264,40.927047,NJ,MORRIS,MAN-MADE,65.32834218,5.103487234,2.4,238.18,9/8/2007,7787,7250,1461,116,8.54,308.4,24.8,5.679738562
1,Region_8,46,Northern Glaciated Plains,VI,Corn Belt and Northern Great Plains,VI,PLNLOW NATURAL,9,9020202,NLA06608-0078,-100.2942095,48.177811,ND,MCHENRY,NATURAL,15.07116765,1.495276968,1.1,456.67,8/8/2007,36172,49850,4644,123.5,9.18,2086,20.363333,5.308954248
1,Region_8,21,Southern Rockies,II,Western Forested Mountains,II,WMTNS NATURAL,14,14050005,NLA06608-0079,-107.2317809,39.985855,CO,GARFIELD,NATURAL,130.9081557,6.588221013,47.8,2934,7/12/2007,13145,1800,97,4,8.03,84.35,7.108571,6.673398693
1,Region_6,73,Mississippi Alluvial Plain,X,Texas-Louisiana Coastal and Mississippi Alluvial Plains,CPL,PLNLOW NATURAL,8,8020402,NLA06608-0080,-91.56105203,34.120035,AR,JEFFERSON,NATURAL,79.79770424,6.378654064,3,51.5,9/9/2007,6754,5410,956,100,8.46,410.6,28.383333,5.599084967
1,Region_10,2,Puget Lowland,II,Western Forested Mountains,II,WMTNS NATURAL,17,17110008,NLA06608-0081,-122.1241675,48.22612,WA,SNOHOMISH,NATURAL,10.0070393,1.610517764,8.5,42.78,7/3/2007,10209,9050,741,22,7.31,61.72,11.877778,4.470915033
1,Region_8,42,Northwestern Glaciated Plains,V,South Central Cultivated Great Plains,V,PLNLOW NATURAL,10,10130106,NLA06608-0083,-99.13645049,45.950964,ND,MCINTOSH,NATURAL,48.33310631,4.992884041,2,590.81,6/13/2007,1727,38850,3925,50,8.86,4281,22.0025,5.643529412
1,Region_10,12,Snake River Plain,III,Xeric West,III,WMTNS MAN-MADE,17,17050114,NLA06608-0085,-116.1414317,43.460454,ID,ADA,MAN-MADE,33.42344767,2.786710231,1.6,973.07,7/10/2007,16638,10640,1581,417,8.24,213.8,22.733333,6.665228758
1,Region_10,3,Willamette Valley,I,Willamette and Central Valleys,II,WMTNS NATURAL,17,17080001,NLA06608-0086,-122.4260347,45.616571,WA,CLARK,NATURAL,101.3087296,8.99529581,14.2,55.6,8/2/2007,12897,2560,288,20,8.59,110,15.573333,5.160065359
1,Region_4,45,Piedmont,IX,Southeastern Temperate Forested Plains and Hills,IX,EHIGH MAN-MADE,3,3050101,NLA06608-0089,-81.54174586,35.773374,NC,CALDWELL,MAN-MADE,879.2648891,86.85557092,15,301.83,6/17/2007,11543,1900,333,35,7.44,62.86,20.8,5.560261438
1,Region_8,17,Middle Rockies,II,Western Forested Mountains,II,WMTNS NATURAL,14,14040102,NLA06608-0090,-109.6534609,42.930755,WY,SUBLETTE,NATURAL,8.528510903,1.385546689,7.8,2812,6/26/2007,1841,5460,253,11,7.16,34.4,11.411111,6.175098039
1,Region_5,54,Central Corn Belt Plains,VI,Corn Belt and Northern Great Plains,VI,PLNLOW NATURAL,7,7120001,NLA06608-0091,-87.43213825,41.369441,IN,LAKE,NATURAL,305.5679078,9.227932592,3.7,211.77,7/10/2007,2105,7270,2021,170,9.03,325.9,27.375,5.707189542
1,Region_5,53,Southeastern Wisconsin Till Plains,VII,Mostly Glaciated Dairy Region,VII,PLNLOW NATURAL,7,7090001,NLA06608-0099,-88.45255303,43.099516,WI,WAUKESHA,NATURAL,314.7521338,11.02083828,18.8,262.37,7/3/2007,4510,5690,601,6,8.57,557.8,14.735,5.489215686
1,Region_1,58,Northeastern Highlands,VIII,Nutrient Poor Largely Glaciated Upper Midwest and Northeast,VIII,EHIGH NATURAL,1,1100005,NLA06608-0101,-73.48227989,42.02168,CT,LITCHFIELD,NATURAL,61.41489821,4.569671237,10.1,532.8,8/21/2007,205,1180,63,1,5.32,15.73,20.207273,5.669281046
1,Region_1,58,Northeastern Highlands,VIII,Nutrient Poor Largely Glaciated Upper Midwest and Northeast,VIII,EHIGH NATURAL,1,1040002,NLA06608-0102,-70.72328312,44.507137,ME,OXFORD,NATURAL,51.55246837,3.989089402,36.3,330.37,8/3/2007,3415,3670,137,1,6.69,20.01,11.204375,5.059542484
1,Region_7,27,Central Great Plains,V,South Central Cultivated Great Plains,V,PLNLOW MAN-MADE,11,11030015,NLA06608-0104,-98.26265148,37.655294,KS,KINGMAN,MAN-MADE,56.79375053,4.717544883,1.9,479.33,6/22/2007,1131,6570,1076,102,8.32,308.9,25.75,5.884901961
1,Region_8,19,Wasatch and Uinta Mountains,II,Western Forested Mountains,II,WMTNS MAN-MADE,16,16030001,NLA06608-0105,-112.2015025,38.235021,UT,PIUTE,MAN-MADE,906.5113613,30.36851324,6,1820,7/5/2007,22525,3170,339,45,8.42,485.8,19.087143,6.603267974
1,Region_5,56,Southern Michigan/Northern Indiana Drift Plains,VII,Mostly Glaciated Dairy Region,VII,PLNLOW NATURAL,4,4050001,NLA06608-0107,-85.08175821,41.650161,IN,STEUBEN,NATURAL,12.42080368,1.435689522,4,300.77,6/25/2007,1528,7050,520,3,8.23,208.6,24.82,5.771503268
1,Region_5,50,Northern Lakes and Forests,VIII,Nutrient Poor Largely Glaciated Upper Midwest and Northeast,VIII,PLNLOW NATURAL,9,9020103,NLA06608-0110,-95.72856324,46.869734,MN,BECKER,NATURAL,139.0508291,10.50970305,12.4,437.86,7/31/2007,1556,5810,491,12,8.56,260.1,21.1,5.328366013
1,Region_5,61,Erie Drift Plain,VII,Mostly Glaciated Dairy Region,VII,EHIGH MAN-MADE,5,5030103,NLA06608-0111,-81.13692241,41.135405,OH,PORTAGE,MAN-MADE,1064.647066,64.75594294,12.8,286.66,8/1/2007,1092,3790,343,6,7.96,395.2,19.478462,5.77751634
1,Region_5,72,Interior River Valleys and Hills,IX,Southeastern Temperate Forested Plains and Hills,IX,PLNLOW MAN-MADE,7,7140202,NLA06608-0112,-89.14408234,39.012661,IL,FAYETTE,MAN-MADE,276.3794065,30.39769287,9,160.22,7/9/2007,1075,6870,1266,96,8.9,195.4,23.16,5.743986928
1,Region_1,58,Northeastern Highlands,VIII,Nutrient Poor Largely Glaciated Upper Midwest and Northeast,VIII,EHIGH NATURAL,1,1110000,NLA06608-0113,-72.23412171,44.718642,VT,ORLEANS,NATURAL,83.35226447,4.253680284,13.1,396.91,7/16/2007,687,3760,190,9,8.19,129.7,13.542857,5.208169935
1,Region_5,51,North Central Hardwood Forests,VII,Mostly Glaciated Dairy Region,VII,PLNLOW NATURAL,4,4030202,NLA06608-0115,-89.19099056,44.323554,WI,WAUPACA,NATURAL,6.737155775,0.987715321,17,271.25,7/18/2007,11854,2650,540,5,7.41,324.2,13.433333,5.447254902
1,Region_6,21,Southern Rockies,II,Western Forested Mountains,II,WMTNS MAN-MADE,13,13020201,NLA06608-0116,-106.3013899,35.666539,NM,SANDOVAL,MAN-MADE,406.2048459,34.23927252,25.8,1625.22,6/28/2007,16520,3870,271,26,8.4,353.7,20.218519,6.575098039
1,Region_6,29,Cross Timbers,IX,Southeastern Temperate Forested Plains and Hills,IX,PLNLOW MAN-MADE,11,11060006,NLA06608-0120,-96.36834536,36.16293,OK,OSAGE,MAN-MADE,10251.57227,466.5719919,20.6,220.49,6/18/2007,11648,5000,1174,315,8.03,569.6,24.525455,5.393529412
1,Region_7,44,Nebraska Sand Hills,IV,Great Plains Grass and Shrublands,IVnat,PLNLOW NATURAL,10,10210001,NLA06608-0124,-101.8094915,42.140019,NE,CHERRY,NATURAL,30.53256534,2.430193088,1.1,1140.27,7/19/2007,17325,290570,340,213,9.49,7382,25.4,6.182026144
1,Region_8,42,Northwestern Glaciated Plains,V,South Central Cultivated Great Plains,V,PLNLOW NATURAL,10,10160002,NLA06608-0126,-99.32424356,47.193058,ND,STUTSMAN,NATURAL,11.53500919,1.474450014,2.5,569.53,6/21/2007,27162,31030,5728,502,8.96,1482,20.55,5.399803922
1,Region_9,23,Arizona/New Mexico Mountains,II,Western Forested Mountains,II,WMTNS MAN-MADE,15,15020001,NLA06608-0127,-109.3063643,34.153646,AZ,APACHE,MAN-MADE,35.85993055,2.788304179,5.2,2106.3,7/11/2007,12522,11000,641,19,9.01,508,20.766667,6.66751634
1,Region_8,42,Northwestern Glaciated Plains,V,South Central Cultivated Great Plains,V,PLNLOW MAN-MADE,10,10050008,NLA06608-0128,-109.2416928,48.752891,MT,BLAINE,MAN-MADE,12.37799839,3.099848391,2.2,787.37,6/21/2007,2137,15870,1356,76,8.42,517.7,18.275,5.64
1,Region_8,15,Northern Rockies,II,Western Forested Mountains,II,WMTNS NATURAL,17,17010208,NLA06608-0129,-114.5994561,48.21241,MT,FLATHEAD,NATURAL,1138.974069,25.75629963,60.3,1203,7/21/2007,14077.5,2565,123.5,4.5,8.38,246.4,10.586111,5.691960784
1,Region_9,79,Madrean Archipelago,III,Xeric West,III,WMTNS MAN-MADE,15,15050301,NLA06608-0130,-111.0870104,31.401384,AZ,SANTA CRUZ,MAN-MADE,20.47176878,4.357197867,9.7,1168.89,8/13/2007,17526,10240,2234,36,8.41,159.2,20.827273,6.59248366
1,Region_9,23,Arizona/New Mexico Mountains,II,Western Forested Mountains,II,WMTNS MAN-MADE,14,14080204,NLA06608-0132,-109.0936327,36.208719,AZ,APACHE,MAN-MADE,88.38069497,4.69012423,6,2222,8/28/2007,14658,5960,466,56,8.53,352.2,21.071429,6.411111111
1,Region_1,58,Northeastern Highlands,VIII,Nutrient Poor Largely Glaciated Upper Midwest and Northeast,VIII,EHIGH NATURAL,1,1080207,NLA06608-0134,-73.04056323,41.880003,CT,LITCHFIELD,NATURAL,99.98457278,5.007655389,19.8,285.96,7/24/2007,557,2210,156,4,7.17,57.55,14.326667,5.731176471
1,Region_9,13,Central Basin and Range,III,Xeric West,III,WMTNS NATURAL,16,16050301,NLA06608-0137,-119.3636363,38.148558,CA,MONO,NATURAL,116.0372371,6.076084703,34.2,2163.46,9/17/2007,4471,900,82,3,7.53,55.59,12.339286,7.550130719
1,Region_5,56,Southern Michigan/Northern Indiana Drift Plains,VII,Mostly Glaciated Dairy Region,VII,PLNLOW NATURAL,5,5120106,NLA06608-0139,-85.93794192,41.172052,IN,KOSCIUSKO,NATURAL,94.68796912,9.357351254,7.9,251.92,7/11/2007,23459,8210,763,33,8.53,496.6,19.911111,5.771503268
1,Region_7,47,Western Corn Belt Plains,VI,Corn Belt and Northern Great Plains,VI,PLNLOW MAN-MADE,10,10270103,NLA06608-0140,-95.45270584,39.639176,KS,ATCHISON,MAN-MADE,26.86439392,4.019914937,1.7,321.71,6/20/2007,4649,7530,1158,173,8.49,276.7,25.925,5.558366013
1,Region_3,63,Middle Atlantic Coastal Plain,XIV,Eastern Coastal Plain,CPL,PLNLOW MAN-MADE,2,2040205,NLA06608-0141,-75.68870871,39.416227,DE,NEW CASTLE,MAN-MADE,65.47479386,9.836282885,1.6,0,8/23/2007,12614,3400,975,73,8.1,214.6,21.3,5.800065359
1,Region_5,50,Northern Lakes and Forests,VIII,Nutrient Poor Largely Glaciated Upper Midwest and Northeast,VIII,PLNLOW NATURAL,7,7070001,NLA06608-0142,-89.54369029,45.997912,WI,VILAS,NATURAL,130.8236981,8.157706901,16.8,497.98,8/13/2007,13051,3840,293,7,6.83,101.8,17.411765,5.336797386
1,Region_6,27,Central Great Plains,V,South Central Cultivated Great Plains,V,PLNLOW MAN-MADE,12,12060101,NLA06608-0144,-99.39138265,33.395251,TX,BAYLOR,MAN-MADE,706.1356995,36.14835531,12,405.7,8/2/2007,8866,6290,898,69,7.74,405.8,26.453846,5.768627451
1,Region_5,55,Eastern Corn Belt Plains,VI,Corn Belt and Northern Great Plains,VI,PLNLOW MAN-MADE,5,5120204,NLA06608-0148,-86.1080157,39.348605,IN,JOHNSON,MAN-MADE,28.96652302,4.842928367,7.3,236.08,7/26/2007,2360,3570,342,16,8.33,251.6,21.675,5.795686275
1,Region_3,60,Northern Appalachian Plateau and Uplands,VII,Mostly Glaciated Dairy Region,VII,EHIGH NATURAL,2,2050106,NLA06608-0149,-76.84081042,41.633403,PA,BRADFORD,NATURAL,13.9443979,1.606338683,10.4,451.56,7/18/2007,242,3490,220,12,7.83,118,14.890909,5.61875817
1,Region_1,82,Laurentian Plains and Hills,VIII,Nutrient Poor Largely Glaciated Upper Midwest and Northeast,VIII,EHIGH NATURAL,1,1030003,NLA06608-0150,-69.2311707,44.84956,ME,PENOBSCOT,NATURAL,1887.921908,46.6742518,18,60.78,8/2/2007,1800,4270,366,16,8.6,103.7,20.32042,5.132418301
