SITE_ID,VISIT_NO,LON_DD,LAT_DD,EPA_REG,ECO_LEV_3,ECO_L3_NAM,NUT_REG,NUTREG_NAME,ECO_NUTA,LAKE_ORIGIN,ECO3_X_ORIGIN,AREA_HA,LAKEPERIM,DEPTHMAX,ELEV_PT,HUC_2,HUC_8
NLA06608-0025,1,-81.34573084,35.20132137,Region_4,45,Piedmont,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,EHIGH MAN-MADE,11.48123514,1.982772888,8,245.48,3,3050105
NLA06608-0025,2,-81.34573084,35.20132137,Region_4,45,Piedmont,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,EHIGH MAN-MADE,11.48123514,1.982772888,6.2,245.48,3,3050105
NLA06608-0029,1,-75.21503793,38.75601051,Region_3,63,Middle Atlantic Coastal Plain,XIV,Eastern Coastal Plain,CPL,MAN-MADE,PLNLOW MAN-MADE,73.10037419,11.55985109,1.7,1.87,2,2040207
NLA06608-0029,2,-75.21503793,38.75601051,Region_3,63,Middle Atlantic Coastal Plain,XIV,Eastern Coastal Plain,CPL,MAN-MADE,PLNLOW MAN-MADE,73.10037419,11.55985109,0.8,1.87,2,2040207
NLA06608-0031,1,-81.51745185,39.77645357,Region_5,70,Western Allegheny Plateau,XI,The Central and Eastern Forested Uplands,XI,MAN-MADE,EHIGH MAN-MADE,24.24953577,5.281606466,4.9,241.93,5,5030201
NLA06608-0031,2,-81.51745185,39.77645357,Region_5,70,Western Allegheny Plateau,XI,The Central and Eastern Forested Uplands,XI,MAN-MADE,EHIGH MAN-MADE,24.24953577,5.281606466,4.8,241.93,5,5030201
NLA06608-0033,1,-121.2990598,47.31108363,Region_10,77,North Cascades,II,Western Forested Mountains,II,NATURAL,WMTNS NATURAL,15.16448355,1.777959372,1.4,732.43,17,17030001
NLA06608-0033,2,-121.2990598,47.31108363,Region_10,77,North Cascades,II,Western Forested Mountains,II,NATURAL,WMTNS NATURAL,15.16448355,1.777959372,1.8,732.43,17,17030001
NLA06608-0036,1,-88.32737922,37.47735404,Region_5,72,Interior River Valleys and Hills,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,PLNLOW MAN-MADE,12.02760537,1.782974479,5,113.39,5,5140203
NLA06608-0036,2,-88.32737922,37.47735404,Region_5,72,Interior River Valleys and Hills,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,PLNLOW MAN-MADE,12.02760537,1.782974479,5,113.39,5,5140203
NLA06608-0037,1,-73.36398551,41.69699293,Region_1,58,Northeastern Highlands,VIII,Nutrient Poor Largely Glaciated Upper Midwest and Northeast,VIII,NATURAL,EHIGH NATURAL,236.955581,14.01149575,13,211.27,1,1100005
NLA06608-0037,2,-73.36398551,41.69699293,Region_1,58,Northeastern Highlands,VIII,Nutrient Poor Largely Glaciated Upper Midwest and Northeast,VIII,NATURAL,EHIGH NATURAL,236.955581,14.01149575,12.3,211.27,1,1100005
NLA06608-0038,1,-71.86971736,44.79759122,Region_1,58,Northeastern Highlands,VIII,Nutrient Poor Largely Glaciated Upper Midwest and Northeast,VIII,NATURAL,EHIGH NATURAL,220.6478779,7.974503403,11.3,358.73,1,1110000
NLA06608-0038,2,-71.86971736,44.79759122,Region_1,58,Northeastern Highlands,VIII,Nutrient Poor Largely Glaciated Upper Midwest and Northeast,VIII,NATURAL,EHIGH NATURAL,220.6478779,7.974503403,13.6,358.73,1,1110000
NLA06608-0041,1,-80.85405519,38.22694093,Region_3,69,Central Appalachians,XI,The Central and Eastern Forested Uplands,XI,MAN-MADE,EHIGH MAN-MADE,1071.509332,100.9848431,43,501.84,5,5050005
NLA06608-0041,2,-80.85405519,38.22694093,Region_3,69,Central Appalachians,XI,The Central and Eastern Forested Uplands,XI,MAN-MADE,EHIGH MAN-MADE,1071.509332,100.9848431,33,501.84,5,5050005
NLA06608-0042,1,-107.0403753,44.45823517,Region_8,17,Middle Rockies,II,Western Forested Mountains,II,MAN-MADE,WMTNS MAN-MADE,77.7184868,4.314419055,13.6,2626,10,10090206
NLA06608-0042,2,-107.0403753,44.45823517,Region_8,17,Middle Rockies,II,Western Forested Mountains,II,MAN-MADE,WMTNS MAN-MADE,77.7184868,4.314419055,13.9,2626,10,10090206
NLA06608-0043,1,-85.44424168,41.553395,Region_5,56,Southern Michigan/Northern Indiana Drift Plains,VII,Mostly Glaciated Dairy Region,VII,NATURAL,PLNLOW NATURAL,24.24719175,2.957443479,16.5,273.03,4,4050001
NLA06608-0043,2,-85.44424168,41.553395,Region_5,56,Southern Michigan/Northern Indiana Drift Plains,VII,Mostly Glaciated Dairy Region,VII,NATURAL,PLNLOW NATURAL,24.24719175,2.957443479,16.2,273.03,4,4050001
NLA06608-0044,1,-101.7024805,42.4048448,Region_7,44,Nebraska Sand Hills,IV,Great Plains Grass and Shrublands,IVnat,NATURAL,PLNLOW NATURAL,219.8023543,12.39574206,1.6,1097.9,10,10150004
NLA06608-0044,2,-101.7024805,42.4048448,Region_7,44,Nebraska Sand Hills,IV,Great Plains Grass and Shrublands,IVnat,NATURAL,PLNLOW NATURAL,219.8023543,12.39574206,1.6,1097.9,10,10150004
NLA06608-0045,1,-77.88986113,37.29320486,Region_3,45,Piedmont,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,EHIGH MAN-MADE,28.83819816,4.086368816,2.1,65.73,2,2080207
NLA06608-0045,2,-77.88986113,37.29320486,Region_3,45,Piedmont,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,EHIGH MAN-MADE,28.83819816,4.086368816,2.5,65.73,2,2080207
NLA06608-0048,1,-89.17572548,36.7872968,Region_7,73,Mississippi Alluvial Plain,X,Texas-Louisiana Coastal and Mississippi Alluvial Plains,CPL,NATURAL,PLNLOW NATURAL,5.61794831,1.079810471,3,92.55,8,8020201
NLA06608-0048,2,-89.17572548,36.7872968,Region_7,73,Mississippi Alluvial Plain,X,Texas-Louisiana Coastal and Mississippi Alluvial Plains,CPL,NATURAL,PLNLOW NATURAL,5.61794831,1.079810471,3.1,92.55,8,8020201
NLA06608-0049,1,-117.1533553,45.06232667,Region_10,11,Blue Mountains,II,Western Forested Mountains,II,MAN-MADE,WMTNS MAN-MADE,12.89054746,1.95649328,3.7,2107.88,17,17050201
NLA06608-0050,1,-71.80868659,43.44601793,Region_1,58,Northeastern Highlands,VIII,Nutrient Poor Largely Glaciated Upper Midwest and Northeast,VIII,NATURAL,EHIGH NATURAL,11.97907093,1.372465095,4.9,196.17,1,1070003
NLA06608-0050,2,-71.80868659,43.44601793,Region_1,58,Northeastern Highlands,VIII,Nutrient Poor Largely Glaciated Upper Midwest and Northeast,VIII,NATURAL,EHIGH NATURAL,11.97907093,1.372465095,5,196.17,1,1070003
NLA06608-0053,1,-73.43960723,43.55819295,Region_2,83,Eastern Great Lakes and Hudson Lowlands,VII,Mostly Glaciated Dairy Region,VII,NATURAL,EHIGH NATURAL,470.73915,23.455266,5.3,28.85,2,2010001
NLA06608-0053,2,-73.43960723,43.55819295,Region_2,83,Eastern Great Lakes and Hudson Lowlands,VII,Mostly Glaciated Dairy Region,VII,NATURAL,EHIGH NATURAL,470.73915,23.455266,5.9,28.85,2,2010001
NLA06608-0057,1,-80.51686138,34.96189211,Region_4,45,Piedmont,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,EHIGH MAN-MADE,53.02839363,9.688983502,3.7,149.57,3,3040105
NLA06608-0057,2,-80.51686138,34.96189211,Region_4,45,Piedmont,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,EHIGH MAN-MADE,53.02839363,9.688983502,2.7,149.57,3,3040105
NLA06608-0061,1,-113.5793644,34.24558153,Region_9,81,Sonoran Basin and Range,III,Xeric West,III,MAN-MADE,WMTNS MAN-MADE,572.3287327,23.93314962,15.3,335,15,15030204
NLA06608-0061,2,-113.5793644,34.24558153,Region_9,81,Sonoran Basin and Range,III,Xeric West,III,MAN-MADE,WMTNS MAN-MADE,572.3287327,23.93314962,14.9,335,15,15030204
NLA06608-0062,1,-99.74629427,47.32067994,Region_8,42,Northwestern Glaciated Plains,V,South Central Cultivated Great Plains,V,NATURAL,PLNLOW NATURAL,54.29856165,2.944960258,2.7,562.29,10,10130103
NLA06608-0062,2,-99.74629427,47.32067994,Region_8,42,Northwestern Glaciated Plains,V,South Central Cultivated Great Plains,V,NATURAL,PLNLOW NATURAL,54.29856165,2.944960258,2.8,562.29,10,10130103
NLA06608-0064,1,-112.1680165,48.8940613,Region_8,42,Northwestern Glaciated Plains,V,South Central Cultivated Great Plains,V,NATURAL,PLNLOW NATURAL,25.20779145,2.061268745,2.5,1208,10,10050002
NLA06608-0064,2,-112.1680165,48.8940613,Region_8,42,Northwestern Glaciated Plains,V,South Central Cultivated Great Plains,V,NATURAL,PLNLOW NATURAL,25.20779145,2.061268745,1.7,1208,10,10050002
NLA06608-0065,1,-115.116608,48.96243381,Region_8,15,Northern Rockies,II,Western Forested Mountains,II,NATURAL,WMTNS NATURAL,89.52258877,7.365625253,17.1,766.43,17,17010101
NLA06608-0065,2,-115.116608,48.96243381,Region_8,15,Northern Rockies,II,Western Forested Mountains,II,NATURAL,WMTNS NATURAL,89.52258877,7.365625253,15.3,766.43,17,17010101
NLA06608-0066,1,-79.38081778,39.76851425,Region_3,69,Central Appalachians,XI,The Central and Eastern Forested Uplands,XI,MAN-MADE,EHIGH MAN-MADE,1094.588775,59.92548558,20.5,439.26,5,5020006
NLA06608-0066,2,-79.38081778,39.76851425,Region_3,69,Central Appalachians,XI,The Central and Eastern Forested Uplands,XI,MAN-MADE,EHIGH MAN-MADE,1094.588775,59.92548558,17.5,439.26,5,5020006
NLA06608-0068,1,-107.8853911,37.82447614,Region_8,21,Southern Rockies,II,Western Forested Mountains,II,MAN-MADE,WMTNS MAN-MADE,50.09896936,3.228855235,18.6,2959.6,14,14030003
NLA06608-0068,2,-107.8853911,37.82447614,Region_8,21,Southern Rockies,II,Western Forested Mountains,II,MAN-MADE,WMTNS MAN-MADE,50.09896936,3.228855235,17.7,2959.6,14,14030003
NLA06608-0069,1,-81.13759704,28.63735951,Region_4,75,Southern Coastal Plain,XII,Southeastern Coastal Plain,CPL,NATURAL,PLNLOW NATURAL,24.47044676,2.398919112,3.4,11.26,3,3080101
NLA06608-0069,2,-81.13759704,28.63735951,Region_4,75,Southern Coastal Plain,XII,Southeastern Coastal Plain,CPL,NATURAL,PLNLOW NATURAL,24.47044676,2.398919112,3.6,11.26,3,3080101
NLA06608-0071,1,-91.50916933,31.66683993,Region_6,73,Mississippi Alluvial Plain,X,Texas-Louisiana Coastal and Mississippi Alluvial Plains,CPL,NATURAL,PLNLOW NATURAL,460.2095294,30.10842622,5.3,15.17,8,8060100
NLA06608-0071,2,-91.50916933,31.66683993,Region_6,73,Mississippi Alluvial Plain,X,Texas-Louisiana Coastal and Mississippi Alluvial Plains,CPL,NATURAL,PLNLOW NATURAL,460.2095294,30.10842622,5.2,15.17,8,8060100
NLA06608-0072,1,-98.40515204,32.23766222,Region_6,29,Cross Timbers,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,PLNLOW MAN-MADE,9.127076417,1.325295227,5.7,429.56,12,12070201
NLA06608-0072,2,-98.40515204,32.23766222,Region_6,29,Cross Timbers,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,PLNLOW MAN-MADE,9.127076417,1.325295227,5.6,429.56,12,12070201
NLA06608-0073,1,-118.878391,39.52477029,Region_9,13,Central Basin and Range,III,Xeric West,III,MAN-MADE,WMTNS MAN-MADE,152.2446927,4.905570351,28,1216.87,16,16050203
NLA06608-0073,2,-118.878391,39.52477029,Region_9,13,Central Basin and Range,III,Xeric West,III,MAN-MADE,WMTNS MAN-MADE,152.2446927,4.905570351,27,1216.87,16,16050203
NLA06608-0076,1,-94.49793062,39.41441295,Region_7,40,Central Irregular Plains,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,PLNLOW MAN-MADE,3008.068118,176.162583,9.2,264.36,10,10240012
NLA06608-0076,2,-94.49793062,39.41441295,Region_7,40,Central Irregular Plains,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,PLNLOW MAN-MADE,3008.068118,176.162583,11.8,264.36,10,10240012
NLA06608-0077,1,-74.53388264,40.92704692,Region_2,58,Northeastern Highlands,VIII,Nutrient Poor Largely Glaciated Upper Midwest and Northeast,VIII,MAN-MADE,EHIGH MAN-MADE,65.32834218,5.103487234,2.4,238.18,2,2030103
NLA06608-0077,2,-74.53388264,40.92704692,Region_2,58,Northeastern Highlands,VIII,Nutrient Poor Largely Glaciated Upper Midwest and Northeast,VIII,MAN-MADE,EHIGH MAN-MADE,65.32834218,5.103487234,2.5,238.18,2,2030103
NLA06608-0078,1,-100.2942095,48.17781123,Region_8,46,Northern Glaciated Plains,VI,Corn Belt and Northern Great Plains,VI,NATURAL,PLNLOW NATURAL,15.07116765,1.495276968,1.1,456.67,9,9020202
NLA06608-0078,2,-100.2942095,48.17781123,Region_8,46,Northern Glaciated Plains,VI,Corn Belt and Northern Great Plains,VI,NATURAL,PLNLOW NATURAL,15.07116765,1.495276968,1,456.67,9,9020202
NLA06608-0079,1,-107.2317809,39.98585506,Region_8,21,Southern Rockies,II,Western Forested Mountains,II,NATURAL,WMTNS NATURAL,130.9081557,6.588221013,47.8,2934,14,14050005
NLA06608-0079,2,-107.2317809,39.98585506,Region_8,21,Southern Rockies,II,Western Forested Mountains,II,NATURAL,WMTNS NATURAL,130.9081557,6.588221013,48.8,2934,14,14050005
NLA06608-0080,1,-91.56105203,34.1200351,Region_6,73,Mississippi Alluvial Plain,X,Texas-Louisiana Coastal and Mississippi Alluvial Plains,CPL,NATURAL,PLNLOW NATURAL,79.79770424,6.378654064,3,51.5,8,8020402
NLA06608-0080,2,-91.56105203,34.1200351,Region_6,73,Mississippi Alluvial Plain,X,Texas-Louisiana Coastal and Mississippi Alluvial Plains,CPL,NATURAL,PLNLOW NATURAL,79.79770424,6.378654064,3.3,51.5,8,8020402
NLA06608-0081,1,-122.1241675,48.22612028,Region_10,2,Puget Lowland,II,Western Forested Mountains,II,NATURAL,WMTNS NATURAL,10.0070393,1.610517764,8.5,42.78,17,17110008
NLA06608-0081,2,-122.1241675,48.22612028,Region_10,2,Puget Lowland,II,Western Forested Mountains,II,NATURAL,WMTNS NATURAL,10.0070393,1.610517764,8,42.78,17,17110008
NLA06608-0083,1,-99.13645049,45.95096444,Region_8,42,Northwestern Glaciated Plains,V,South Central Cultivated Great Plains,V,NATURAL,PLNLOW NATURAL,48.33310631,4.992884041,2,590.81,10,10130106
NLA06608-0083,2,-99.13645049,45.95096444,Region_8,42,Northwestern Glaciated Plains,V,South Central Cultivated Great Plains,V,NATURAL,PLNLOW NATURAL,48.33310631,4.992884041,1.8,590.81,10,10130106
NLA06608-0085,1,-116.1414317,43.46045448,Region_10,12,Snake River Plain,III,Xeric West,III,MAN-MADE,WMTNS MAN-MADE,33.42344767,2.786710231,1.6,973.07,17,17050114
NLA06608-0085,2,-116.1414317,43.46045448,Region_10,12,Snake River Plain,III,Xeric West,III,MAN-MADE,WMTNS MAN-MADE,33.42344767,2.786710231,2.4,973.07,17,17050114
NLA06608-0086,1,-122.4260347,45.61657075,Region_10,3,Willamette Valley,I,Willamette and Central Valleys,II,NATURAL,WMTNS NATURAL,101.3087296,8.99529581,14.2,55.6,17,17080001
NLA06608-0086,2,-122.4260347,45.61657075,Region_10,3,Willamette Valley,I,Willamette and Central Valleys,II,NATURAL,WMTNS NATURAL,101.3087296,8.99529581,16,55.6,17,17080001
NLA06608-0089,1,-81.54174586,35.7733743,Region_4,45,Piedmont,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,EHIGH MAN-MADE,879.2648891,86.85557092,15,301.83,3,3050101
NLA06608-0089,2,-81.54174586,35.7733743,Region_4,45,Piedmont,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,EHIGH MAN-MADE,879.2648891,86.85557092,9.1,301.83,3,3050101
NLA06608-0090,1,-109.6534609,42.93075473,Region_8,17,Middle Rockies,II,Western Forested Mountains,II,NATURAL,WMTNS NATURAL,8.528510903,1.385546689,7.8,2812,14,14040102
NLA06608-0090,2,-109.6534609,42.93075473,Region_8,17,Middle Rockies,II,Western Forested Mountains,II,NATURAL,WMTNS NATURAL,8.528510903,1.385546689,6.7,2812,14,14040102
NLA06608-0091,1,-87.43213825,41.36944118,Region_5,54,Central Corn Belt Plains,VI,Corn Belt and Northern Great Plains,VI,NATURAL,PLNLOW NATURAL,305.5679078,9.227932592,3.7,211.77,7,7120001
NLA06608-0091,2,-87.43213825,41.36944118,Region_5,54,Central Corn Belt Plains,VI,Corn Belt and Northern Great Plains,VI,NATURAL,PLNLOW NATURAL,305.5679078,9.227932592,3.7,211.77,7,7120001
NLA06608-0099,1,-88.45255303,43.09951588,Region_5,53,Southeastern Wisconsin Till Plains,VII,Mostly Glaciated Dairy Region,VII,NATURAL,PLNLOW NATURAL,314.7521338,11.02083828,18.8,262.37,7,7090001
NLA06608-0099,2,-88.45255303,43.09951588,Region_5,53,Southeastern Wisconsin Till Plains,VII,Mostly Glaciated Dairy Region,VII,NATURAL,PLNLOW NATURAL,314.7521338,11.02083828,19.5,262.37,7,7090001
NLA06608-0101,1,-73.48227989,42.02167966,Region_1,58,Northeastern Highlands,VIII,Nutrient Poor Largely Glaciated Upper Midwest and Northeast,VIII,NATURAL,EHIGH NATURAL,61.41489821,4.569671237,10.1,532.8,1,1100005
NLA06608-0102,1,-70.72328312,44.50713663,Region_1,58,Northeastern Highlands,VIII,Nutrient Poor Largely Glaciated Upper Midwest and Northeast,VIII,NATURAL,EHIGH NATURAL,51.55246837,3.989089402,36.3,330.37,1,1040002
NLA06608-0104,1,-98.26265148,37.65529355,Region_7,27,Central Great Plains,V,South Central Cultivated Great Plains,V,MAN-MADE,PLNLOW MAN-MADE,56.79375053,4.717544883,1.9,479.33,11,11030015
NLA06608-0104,2,-98.26265148,37.65529355,Region_7,27,Central Great Plains,V,South Central Cultivated Great Plains,V,MAN-MADE,PLNLOW MAN-MADE,56.79375053,4.717544883,1.8,479.33,11,11030015
NLA06608-0105,1,-112.2015025,38.2350209,Region_8,19,Wasatch and Uinta Mountains,II,Western Forested Mountains,II,MAN-MADE,WMTNS MAN-MADE,906.5113613,30.36851324,6,1820,16,16030001
NLA06608-0105,2,-112.2015025,38.2350209,Region_8,19,Wasatch and Uinta Mountains,II,Western Forested Mountains,II,MAN-MADE,WMTNS MAN-MADE,906.5113613,30.36851324,2.2,1820,16,16030001
NLA06608-0107,1,-85.08175821,41.65016117,Region_5,56,Southern Michigan/Northern Indiana Drift Plains,VII,Mostly Glaciated Dairy Region,VII,NATURAL,PLNLOW NATURAL,12.42080368,1.435689522,4,300.77,4,4050001
NLA06608-0110,1,-95.72856324,46.86973364,Region_5,50,Northern Lakes and Forests,VIII,Nutrient Poor Largely Glaciated Upper Midwest and Northeast,VIII,NATURAL,PLNLOW NATURAL,139.0508291,10.50970305,12.4,437.86,9,9020103
NLA06608-0111,1,-81.13692241,41.13540548,Region_5,61,Erie Drift Plain,VII,Mostly Glaciated Dairy Region,VII,MAN-MADE,EHIGH MAN-MADE,1064.647066,64.75594294,12.8,286.66,5,5030103
