"SITEID_07","zpSR","zpDen","zpDiv.Sh","Omni","W.Omni","phySR","phyDiv.Sh","phyDen.Ind","phyDen.BioV","LAT_DD","LON_DD","LakeArea","LakeDepth","LakePerim","LakeEleva","HUC_2","HUC_8","ECO3","EPA_REG","Cond","DOC","NTL","PTL","Silica","pH","Temp","Sol","ECO_L3_NAM","NUT_REG","NUTREG_NAME","ECO_NUTA","ECO3_X_ORIGIN","STATE","DATE","ln_phyDen.BioV","ln_phySR","ln_zpSR","ln_zpDen","ln_Cond","ln_DOC","ln_NTL","ln_PTL","ln_Silica"
"NLA06608-0025",22,8.76198269815291,3.04982030929609,0.545454545454545,0.066711140760507,37,2.40463225296121,15909.012764148,2688902.4650402,35.201321,-81.34573084,11.48123514,8,1.982772888,245.48,3,3050105,45,"Region_4",84.96,3430,195,10,5669,7.63,19.477778,5.560261438,"Piedmont","IX","Southeastern Temperate Forested Plains and Hills","IX","EHIGH MAN-MADE","NC","6/18/2007",14.8046436627598,3.61091791264422,3.09104245335832,2.17042221474389,4.44218055749363,8.14031554015999,5.27299955856375,2.30258509299405,8.6427680143243
"NLA06608-0029",18,6.76902038786673,2.50588782786038,0.777777777777778,0.48852157943067,38,2.19759222369956,247611.95538617,9021923.503075,38.756011,-75.21503793,73.10037419,1.7,11.55985109,1.87,2,2040207,63,"Region_3",141.7,4120,2106,247,2111,7.37,24.625,5.747908497,"Middle Atlantic Coastal Plain","XIV","Eastern Coastal Plain","CPL","PLNLOW MAN-MADE","DE","7/2/2007",16.0151681179825,3.63758615972639,2.89037175789616,1.91235637746856,4.95371214669663,8.32360844234357,7.65254569269392,5.50938833662798,7.65491704784832
"NLA06608-0031",18,6.38791025403301,1.58546773204995,0.5,0.0609579100145138,29,1.27183835408189,21128.000003774,5783021.660436,39.776454,-81.51745185,24.24953577,4.9,5.281606466,241.93,5,5030201,70,"Region_5",357.1,3830,428,32,4167,8.28,18.95,5.732418301,"Western Allegheny Plateau","XI","The Central and Eastern Forested Uplands","XI","EHIGH MAN-MADE","OH","6/13/2007",15.5704368826696,3.36729582998647,2.89037175789616,1.85440718110458,5.8780158546004,8.25062008217469,6.0591231955818,3.46573590279973,8.33495163142245
"NLA06608-0033",16,14.1923639042891,1.41067655284491,0.125,0.0051063829787234,45,3.09613853150165,62738.0881082,13013902.772544,47.311084,-121.2990598,15.16448355,1.4,1.777959372,732.43,17,17030001,77,"Region_10",109.5,10110,835,67,10543,7.54,20.433333,5.167973856,"North Cascades","II","Western Forested Mountains","II","WMTNS NATURAL","WA","7/17/2007",16.3815287880198,3.80666248977032,2.77258872223978,2.65270406674702,4.69592454925656,9.22128031201452,6.72743172485086,4.20469261939097,9.26321741157695
"NLA06608-0036",21,28.5522402379353,2.83421372597269,0.476190476190476,0.0295698924731183,41,2.20775087332542,41696.790118192,6042046.7965845,37.477354,-88.32737922,12.02760537,5,1.782974479,113.39,5,5140203,72,"Region_5",133.5,4070,178,8,1376,8.23,26.883333,5.933398693,"Interior River Valleys and Hills","IX","Southeastern Temperate Forested Plains and Hills","IX","PLNLOW MAN-MADE","IL","7/12/2007",15.614253386113,3.71357206670431,3.04452243772342,3.35173540020175,4.8941014778403,8.31139827843664,5.18178355029209,2.07944154167984,7.22693601849329
"NLA06608-0037",20,136,1.94067061189941,0.45,0.0632352941176471,52,2.74859105327966,20136.02491256,4181611.7442049,41.696993,-73.36398551,236.955581,13,14.01149575,211.27,1,1100005,58,"Region_1",98.02,3380,239,14,644,7.15,16.935714,5.731176471,"Northeastern Highlands","VIII","Nutrient Poor Largely Glaciated Upper Midwest and Northeast","VIII","EHIGH NATURAL","CT","7/13/2007",15.2462073149203,3.95124371858143,2.99573227355399,4.91265488573605,4.5851715394814,8.12563098847706,5.47646355193151,2.63905732961526,6.46769872610435
"NLA06608-0038",16,129.888888888889,2.55436185726376,0.4375,0.264328485885372,40,2.12795326120607,16170.170169782,534521.6052472,44.797591,-71.86971736,220.6478779,11.3,7.974503403,358.73,1,1110000,58,"Region_1",59.7,3270,158,4,3540,7.62,16.1,5.095294118,"Northeastern Highlands","VIII","Nutrient Poor Largely Glaciated Upper Midwest and Northeast","VIII","EHIGH NATURAL","VT","7/12/2007",13.189127430047,3.68887945411394,2.77258872223978,4.86667938413585,4.08933202039856,8.0925452638913,5.06259503302697,1.38629436111989,8.17188200612782
"NLA06608-0041",12,3.41182267480925,3.02478519097637,0.166666666666667,0.00547045951859956,30,2.06650870004047,851.201369797,883078.703892294,38.226941,-80.85405519,1071.509332,43,100.9848431,501.84,5,5050005,69,"Region_3",82.91,1240,476,1,2505,7.37,17.730769,5.732091503,"Central Appalachians","XI","The Central and Eastern Forested Uplands","XI","EHIGH MAN-MADE","WV","6/12/2007",13.6911696079949,3.40119738166216,2.484906649788,1.22724665723823,4.41775568212813,7.12286665859908,6.16541785423142,0,7.82604401351897
"NLA06608-0042",20,1.68181587856179,2.0429760885146,0.25,0.0487804878048781,34,2.62710922617342,1337.994958054,304787.251668067,44.458235,-107.0403753,77.7184868,13.6,4.314419055,2626,10,10090206,17,"Region_8",21.53,4770,229.5,16,4403.5,6.605,9.6,6.374379085,"Middle Rockies","II","Western Forested Mountains","II","WMTNS MAN-MADE","WY","6/22/2007",12.6273692766839,3.52636052461616,2.99573227355399,0.519874089781173,3.06944731137627,8.47010158388239,5.4359030295006,2.77258872223978,8.39015495824551
"NLA06608-0043",19,24.2447321655242,2.84652927431572,0.578947368421053,0.10261780104712,68,3.46317026280545,20948.414032051,3884569.0192868,41.553395,-85.44424168,24.24719175,16.5,2.957443479,273.03,4,4050001,56,"Region_5",438.1,7220,645,9,2971,8.48,13.311765,5.771503268,"Southern Michigan/Northern Indiana Drift Plains","VII","Mostly Glaciated Dairy Region","VII","PLNLOW NATURAL","IN","7/31/2007",15.1725226010837,4.21950770517611,2.94443897916644,3.18819936349792,6.08244719481985,8.88461023188687,6.46925031679577,2.19722457733622,7.99665387546261
"NLA06608-0044",17,5.70264602775688,2.62145480903327,0.882352941176471,0.254736842105263,68,3.62178439371412,235189.33485837,167667991.760614,42.404845,-101.7024805,219.8023543,1.6,12.39574206,1097.9,10,10150004,44,"Region_7",274.1,16680,4108,601,2462,8.67,24.575,6.182026144,"Nebraska Sand Hills","IV","Great Plains Grass and Shrublands","IVnat","PLNLOW NATURAL","NE","7/18/2007",18.9374963425095,4.21950770517611,2.83321334405622,1.74093028252182,5.61349300330874,9.72196567591274,8.32069157104845,6.39859493453521,7.8087293067444
"NLA06608-0045",21,10.3003025160481,2.52429195994708,0.761904761904762,0.176934097421203,38,1.10927621220803,496875.80236044,16020161.5567144,37.293205,-77.88986113,28.83819816,2.1,4.086368816,65.73,2,2080207,45,"Region_3",103.3,4790,648,54,20583,7.52,26.133333,5.815816993,"Piedmont","IX","Southeastern Temperate Forested Plains and Hills","IX","EHIGH MAN-MADE","VA","6/26/2007",16.5893585842424,3.63758615972639,3.04452243772342,2.33217326529439,4.63763737612559,8.47428569040496,6.47389069635227,3.98898404656427,9.932220771359
"NLA06608-0048",17,5.89551911289261,2.37630558623469,1,0.883374689826303,24,1.25453725244477,289264.042325577,27101091.8420514,36.787297,-89.17572548,5.61794831,3,1.079810471,92.55,8,8020201,73,"Region_7",223.9,4770,773,111,4164,8.46,29.5,5.781960784,"Mississippi Alluvial Plain","X","Texas-Louisiana Coastal and Mississippi Alluvial Plains","CPL","PLNLOW NATURAL","MO","8/2/2007",17.1150845744129,3.17805383034795,2.83321334405622,1.77419258997533,5.41119952360471,8.47010158388239,6.65027904858742,4.70953020131233,8.33423142973486
"NLA06608-0049",9,9.67032967032967,0.330818184271589,0.333333333333333,0.148484848484848,19,1.58290169079651,2866.285714371,3544152.4131035,45.062327,-117.1533553,12.89054746,3.7,1.95649328,2107.88,17,17050201,11,"Region_10",91.89,1880,256,15,7447,7.91,17.575,6.250065359,"Blue Mountains","II","Western Forested Mountains","II","WMTNS MAN-MADE","OR","8/15/2007",15.0808095957371,2.94443897916644,2.19722457733622,2.2690624009554,4.52059220951279,7.539027055824,5.54517744447956,2.70805020110221,8.91556654571064
"NLA06608-0050",19,52.695652173913,2.08751674289949,0.315789473684211,0.0767326732673267,36,2.31505611500265,23979.970370174,38118998.415804,43.446018,-71.80868659,11.97907093,4.9,1.372465095,196.17,1,1070003,58,"Region_1",25.53,5140,303,16,4906,7.05,15.452,5.355751634,"Northeastern Highlands","VIII","Nutrient Poor Largely Glaciated Upper Midwest and Northeast","VIII","EHIGH NATURAL","NH","7/2/2007",17.4562233618984,3.58351893845611,2.94443897916644,3.96453295070011,3.23985423125339,8.54480835844921,5.71373280550937,2.77258872223978,8.49821422481843
"NLA06608-0053",15,3.63354290846738,2.3438334647066,0.4,0.0539325842696629,36,3.32538812412648,1279.789890968,1534387.7996763,43.558193,-73.43960723,470.73915,5.3,23.455266,28.85,2,2010001,83,"Region_2",196,2880,246,29,3359,8.02,21.15,5.474117647,"Eastern Great Lakes and Hudson Lowlands","VII","Mostly Glaciated Dairy Region","VII","EHIGH NATURAL","NY","8/23/2007",14.2436420318781,3.58351893845611,2.70805020110221,1.29020818013304,5.27811465923052,7.96554557312999,5.50533153593236,3.36729582998647,8.11939858961229
"NLA06608-0057",17,7.06962327134001,2.39608426537086,0.823529411764706,0.500843170320405,43,1.69616929814524,1092204.44449292,69232027.099746,34.961892,-80.51686138,53.02839363,3.7,9.688983502,149.57,3,3040105,45,"Region_4",158.3,9700,1756,218,1269,7.5,24.36,5.862679739,"Piedmont","IX","Southeastern Temperate Forested Plains and Hills","IX","EHIGH MAN-MADE","NC","6/16/2007",18.0529741328805,3.76120011569356,2.83321334405622,1.95580719296401,5.06449196688697,9.17988116449147,7.47079377419506,5.38449506278909,7.14598446771439
"NLA06608-0061",14,0.898365865066932,2.36898777827565,0.285714285714286,0.173553719008264,53,2.64639281771033,20613.474299744,49712153.6709601,34.245582,-113.5793644,572.3287327,15.3,23.93314962,335,15,15030204,81,"Region_9",777.6,6100,488,19.5,16750,8.5,18.764706,6.776601307,"Sonoran Basin and Range","III","Xeric West","III","WMTNS MAN-MADE","AZ","6/12/2007",17.7217600018348,3.97029191355212,2.63905732961526,-0.107177871530262,6.65621225314623,8.7160440501614,6.19031540585315,2.9704144655697,9.72615353725321
"NLA06608-0062",14,6.35964912280702,2.26562663372787,0.428571428571429,0.107539450613676,53,2.75441451508505,194756.576907892,4250276.6709414,47.32068,-99.74629427,54.29856165,2.7,2.944960258,562.29,10,10130103,42,"Region_8",3835,28530,2834,152,14069,8.98,21.333333,5.399803922,"Northwestern Glaciated Plains","V","South Central Cultivated Great Plains","V","PLNLOW NATURAL","ND","8/9/2007",15.2624946378268,3.97029191355212,2.63905732961526,1.84997320646018,8.25192471380136,10.2587114442075,7.94944442025063,5.02388052084628,9.55172907437721
"NLA06608-0064",9,3.46933037679899,1.86557448423988,0.555555555555556,0.125382262996942,45,2.37245913822837,247275.572911236,14964135.9375379,48.894061,-112.1680165,25.20779145,2.5,2.061268745,1208,10,10050002,42,"Region_8",2504,33650,3366,2047,22655,8.7,13.122,5.778366013,"Northwestern Glaciated Plains","V","South Central Cultivated Great Plains","V","PLNLOW NATURAL","MT","6/18/2007",16.5211669587138,3.80666248977032,2.19722457733622,1.24396160035082,7.82564473221999,10.4237683350729,8.12148037475075,7.62413058566129,10.0281358571012
"NLA06608-0065",21,12.3161774511007,2.77468113336014,0.666666666666667,0.167171935902988,58,2.36135405868503,32988.975455244,3608219.6600456,48.962434,-115.116608,89.52258877,17.1,7.365625253,766.43,17,17010101,15,"Region_8",195.65,1300,70.5,1,4508,8.405,14.727778,5.691960784,"Northern Rockies","II","Western Forested Mountains","II","WMTNS NATURAL","MT","7/17/2007",15.0987250396988,4.06044301054642,3.04452243772342,2.51091363813487,5.27632734865642,7.17011954344963,4.25561270981822,0,8.41360887515967
"NLA06608-0066",25,6.88151770458964,2.75135598831998,0.4,0.074486301369863,55,2.1620696230429,21104.083881199,7865219.75240388,39.768514,-79.38081778,1094.588775,20.5,59.92548558,439.26,5,5020006,69,"Region_3",114.6,1630,665,7,1970,7.36,14.568182,5.627124183,"Central Appalachians","XI","The Central and Eastern Forested Uplands","XI","EHIGH MAN-MADE","PA","6/12/2007",15.8779610346314,4.00733318523247,3.2188758248682,1.92883922421473,4.74144780428064,7.39633529380081,6.49978704065585,1.94591014905531,7.58578882173203
"NLA06608-0068",11,18.4623655913978,1.29410249117192,0.545454545454545,0.649970879440885,44,3.4089619632993,485.939723227,398375.82185468,37.824476,-107.8853911,50.09896936,18.6,3.228855235,2959.6,14,14030003,21,"Region_8",190.4,1120,168,1,6286,7.9,8.142105,6.555294118,"Southern Rockies","II","Western Forested Mountains","II","WMTNS MAN-MADE","CO","7/9/2007",12.8951511147352,3.78418963391826,2.39789527279837,2.91573436774422,5.24912712235727,7.02108396428914,5.12396397940326,0,8.74608021735751
"NLA06608-0069",23,4.52442435980202,2.87194973006189,0.695652173913043,0.141498216409037,33,2.45962611765771,7653.508727728,4777924.81426535,28.63736,-81.13759704,24.47044676,3.4,2.398919112,11.26,3,3080101,75,"Region_4",145.9,13240,420,39,1233,7.24,30.775,5.46496732,"Southern Coastal Plain","XII","Southeastern Coastal Plain","CPL","PLNLOW NATURAL","FL","7/18/2007",15.3795168709269,3.49650756146648,3.13549421592915,1.50949035575617,4.98292145552874,9.490997829491,6.04025471127741,3.66356164612965,7.11720550316434
"NLA06608-0071",8,1.35550506882529,1.22391794386957,0.625,0.772635814889336,29,1.83411623970168,45538.609321255,8351985.1822281,31.66684,-91.50916933,460.2095294,5.3,30.10842622,15.17,8,8060100,73,"Region_6",243.45,8025,2405,407,14414.5,8.755,30.146667,5.480784314,"Mississippi Alluvial Plain","X","Texas-Louisiana Coastal and Mississippi Alluvial Plains","CPL","PLNLOW NATURAL","LA","9/6/2007",15.9380098149445,3.36729582998647,2.07944154167984,0.304174129400195,5.49491158262871,8.99031694799822,7.78530518253986,6.00881318544259,9.57598992338005
"NLA06608-0072",15,10.5449826989619,1.30012758300039,0.533333333333333,0.66447908121411,28,1.40358793589581,33496.296292908,1452681.914008,32.237662,-98.40515204,9.127076417,5.7,1.325295227,429.56,12,12070201,29,"Region_6",224.1,9180,1724,174,7220,8.96,24.185714,5.489084967,"Cross Timbers","IX","Southeastern Temperate Forested Plains and Hills","IX","PLNLOW MAN-MADE","TX","7/26/2007",14.1889220018681,3.3322045101752,2.70805020110221,2.35565017324299,5.41209238080688,9.12478248361454,7.45240245122364,5.15905529921453,8.88461023188687
"NLA06608-0073",6,34.6867007672634,0.688421462394943,0.333333333333333,0.497695852534562,13,0.991628742762397,7805.820494104,48928.604636901,39.52477,-118.878391,152.2446927,28,4.905570351,1216.87,16,16050203,13,"Region_9",26620,22250,1055,4679,6711,9.45,10.92,7.308366013,"Central Basin and Range","III","Xeric West","III","WMTNS MAN-MADE","NV","6/12/2007",10.7981174663393,2.56494935746154,1.79175946922805,3.54635635029745,10.1894180919491,10.0100972875944,6.96129604591017,8.45083969086622,8.81150325015824
"NLA06608-0076",20,17.3064044270558,2.02949727389302,0.4,0.663951120162933,43,1.74948635405301,177440.29629818,16504325.4151831,39.414413,-94.49793062,3008.068118,9.2,176.162583,264.36,10,10240012,40,"Region_7",254.1,5100,436,24,717,8.37,26.054545,5.515947712,"Central Irregular Plains","IX","Southeastern Temperate Forested Plains and Hills","IX","PLNLOW MAN-MADE","MO","7/27/2007",16.6191330508912,3.76120011569356,2.99573227355399,2.85107663109304,5.53772789032612,8.53699581871242,6.07764224334903,3.17805383034795,6.57507584059962
"NLA06608-0077",22,45.0366032210835,2.81392459449472,0.636363636363636,0.121586475942783,39,1.82321479568376,182081.5956164,38998784.868836,40.927047,-74.53388264,65.32834218,2.4,5.103487234,238.18,2,2030103,58,"Region_2",308.4,7250,1461,116,7787,8.54,24.8,5.679738562,"Northeastern Highlands","VIII","Nutrient Poor Largely Glaciated Upper Midwest and Northeast","VIII","EHIGH MAN-MADE","NJ","9/8/2007",17.4790410463992,3.66356164612965,3.09104245335832,3.80747556404879,5.73139764168917,8.88875674784872,7.2868764117507,4.75359019110636,8.96021095557699
"NLA06608-0078",19,35.0144687887557,2.15291045700589,0.473684210526316,0.12987012987013,60,1.90774685595042,532049.90767097,28496775.202472,48.177811,-100.2942095,15.07116765,1.1,1.495276968,456.67,9,9020202,46,"Region_8",2086,49850,4644,123.5,36172,9.18,20.363333,5.308954248,"Northern Glaciated Plains","VI","Corn Belt and Northern Great Plains","VI","PLNLOW NATURAL","ND","8/8/2007",17.1653014880464,4.0943445622221,2.94443897916644,3.55576137003012,7.64300363556072,10.81677377539,8.44333134281778,4.81624115606803,10.4960406178604
