"SITEID_12","zpSR","zpDen","zpDiv.Sh","Omni","W.Omni","phySR","phyDiv.Sh","phyDen.Ind","phyDen.BioV","SITEID_07","LAT_DD","LON_DD","LakeArea","LakeDepth","LakePerim","LakeEleva","HUC2","HUC8","ECO3","ECO3_2015","EPA_REG","Cond","DOC","NTL","PTL","Silica","pH","Temp","Sol","ln_phyDen.BioV","ln_phySR","ln_zpSR","ln_zpDen","ln_Cond","ln_DOC","ln_NTL","ln_PTL","ln_Silica"
"NLA12_AR-102",18,1.8546878,1.95876709938856,0.555555555555556,0.14551473299172,39,1.59683716717437,1211051.78,33370695.054,"NLA06608-0208",35.58318947,-90.96294056,95.89252695,1.3,3.883137271,69.01,8,8020302,73,73,"Region_6",118.1,5330,1536,151,16852,7.95,26.35,6.19875816993464,17.3231886792191,3.66356164612965,2.89037175789616,0.617716380008254,4.77153172320332,8.58110651715989,7.33693691370762,5.01727983681492,9.73222462309891
"NLA12_AR-103",36,0.4907059,2.23812772652557,0.333333333333333,0.226137488870625,36,2.5561752132313,49359.493,5565134.8049,"NLA06608-1204",34.41755034,-93.07012469,2428.921192,13.4,180.208525,118.4,8,8040101,36,36,"Region_6",51.4,2920,311,15,4145,7.73,27.9,6.17470588235294,15.5320317661001,3.58351893845611,3.58351893845611,-0.711910312318864,3.93963817246112,7.97933889526233,5.73979291217923,2.70805020110221,8.3296580675694
"NLA12_AR-104",31,0.2182002,2.42524083484655,0.419354838709677,0.213852232949374,33,2.85342689853375,10559.6189,1735935.877,"NLA06608-1484",35.5624593,-93.63756822,44.682124,9.1,4.738604684,203.73,11,11110202,37,37,"Region_6",34.9,2030,175,30,5005,7.23,29.5,6.20679738562091,14.3670572363083,3.49650756146648,3.43398720448515,-1.5223422889933,3.55248682920838,7.61579107203583,5.16478597392351,3.40119738166216,8.51819269174932
"NLA12_AR-105",26,1.534781,1.74795163625248,0.346153846153846,0.0943743113838391,66,2.51998265548117,82111.6092,38995247.3724,"",33.07556301,-92.66059625,7.29500254,2.45,1.551513244,55.37,8,8040206,35,35,"Region_6",72.65,8820,537.5,36.5,3712,7.09,31.05,6.16705882352941,17.478950334422,4.18965474202643,3.25809653802148,0.428387699850912,4.28565339001629,9.08477714900084,6.28692876000182,3.59731226058845,8.21932609390609
"NLA12_AR-106",18,0.4827687,1.86775759721875,0.388888888888889,0.450197579089117,28,1.80945671752804,1252428.8576,27519233.5536,"",36.06720319,-91.14242843,222.5927542,5.4,17.23630001,82.69,11,11010009,39,39,"Region_6",244,5020,1385,107,7745,8.81,27.85,6.24320261437908,17.1303957201183,3.3322045101752,2.89037175789616,-0.728217622017741,5.4971682252932,8.52118521268578,7.23345541862144,4.67282883446191,8.95480275285097
"NLA12_AR-109",21,1.05007,1.3644748330253,0.238095238095238,0.0305738665041378,37,2.34776312191233,13136.2899,1979139.0209,"",33.81796398,-94.05998348,4.149225261,7.8,1.003458503,107.3,11,11140109,35,35,"Region_6",248,7480,656,39,7254,8.22,32.15,-0.23078431372549,14.498172470172,3.61091791264422,3.04452243772342,0.0488568286139753,5.51342874616498,8.91998807096852,6.48616078894409,3.66356164612965,8.88930831984285
"NLA12_AR-111",20,0.8676116,1.99076094099386,0.35,0.158638727283038,24,2.40021076364431,9417.5,10077855.5872,"",34.60033557,-92.50069818,2.061803018,1.2,0.594248561,120,8,8040203,35,35,"Region_6",54.5,5260,744,121,3860,6.99,25.55,6.19849673202614,16.1258510586102,3.17805383034795,2.99573227355399,-0.142011129902109,3.9982007016692,8.56788630573176,6.61204103483309,4.79579054559674,8.25842246245888
"NLA12_AZ-101",29,0.310301,2.45822540384411,0.379310344827586,0.14262216364111,53,2.50747679009696,80470.3353,9716144.9379,"NLA06608-0834",33.5692971,-111.5241427,373.4884097,23.85,24.14730294,459,15,15060106,81,81,"Region_9",1166,3970,338,45.5,17949.5,8.47,21.9813461538462,0.513921568627451,16.0892994864384,3.97029191355212,3.36729582998647,-1.17021248484527,7.06133436691044,8.28652137368124,5.82304589548302,3.8177123259569,9.79531753837526
"NLA12_AZ-102",20,0.7808268,2.14748377151089,0.35,0.331350435205349,33,2.6422400078906,29553.6099,15435759.9977,"NLA06608-0569",34.60431345,-112.4386225,119.179815,1.6,9.13022933,1567,15,15060202,23,23,"Region_9",554,16530,2045,631,9240,9.36,20.5423076923077,6.82503267973856,16.5521974533003,3.49650756146648,2.99573227355399,-0.24740192070181,6.31716468674728,9.71293219081507,7.6231530684769,6.44730586254121,9.13129716463573
"NLA12_AZ-103",11,0.9450823,1.06580241318754,0.363636363636364,0.0100473789425535,8,1.00911481694771,19393.6571,3194015.7712,"NLA06608-1641",35.02357175,-111.4006586,81.45252873,3.6,4.683705075,2168,15,15020015,23,23,"Region_9",239,7740,1055,259,17672,8.35,20.4921428571429,6.69300653594771,14.9767895455032,2.07944154167984,2.39789527279837,-0.0564832653334137,5.47646355193151,8.95415696658377,6.96129604591017,5.55682806169954,9.77973674509995
"NLA12_AZ-106",27,0.9356562,1.05189649306968,0.407407407407407,0.398902182233175,24,2.48098133064024,277618.4468,12655643.429,"NLA06608-0877",33.40602291,-114.7138943,55.00641968,4.8,10.5125494,69.11,15,15030104,81,81,"Region_9",1246,7650,571,37,14821,8.25,31.1974358974359,7.02679738562091,16.353613794525,3.17805383034795,3.29583686600433,-0.066507177670846,7.1276936993474,8.94246092682058,6.34738920965601,3.61091791264422,9.60380037295691
"NLA12_AZ-107",11,0.2127109,1.53783615423179,0.272727272727273,0.01299416249943,4,0.884441362854364,968291.6155,4464175.1963,"NLA06608-0895",34.3606808,-109.363087,529.2331386,3.6,25.91177862,1822,15,15020001,22,22,"Region_9",477,6100,628,234,26588,8.59,22.424358974359,6.82124183006536,15.3115950287561,1.38629436111989,2.39789527279837,-1.54782131220275,6.16751649088834,8.7160440501614,6.4425401664682,5.4553211153577,10.1882152651615
"NLA12_AZ-118",14,0.0483676,1.19471766061525,0.142857142857143,0.276920914000281,10,1.47785092750233,879.8187,834379.8119,"",33.38131121,-111.883581,8.007210087,2.4,2.713057747,365.97,15,15060106,81,81,"Region_9",1096,3420,483,38,19485,8.2,24.8,0.513921568627451,13.6344439876253,2.30258509299405,2.63905732961526,-3.02892511090976,6.99942246750796,8.13739583005665,6.18001665365257,3.63758615972639,9.87740021777281
"NLA12_AZ-123",13,0.0551761,1.11450154377944,0.153846153846154,0.249338028602964,15,1.1908906123619,865450.6406,51245507.4177,"",33.0266436,-114.5090632,18.87422654,1.8,3.259236986,57.69,15,15030104,81,81,"Region_9",2570,34490,4094,392,45341,8.09,30.3705128205128,7.02679738562091,17.752138511998,2.70805020110221,2.56494935746154,-2.89722539047259,7.85166117788927,10.4484247059309,8.31727776622123,5.97126183979046,10.7219669793984
"NLA12_AZ-127",14,0.1458693,1.35584763852023,0.285714285714286,0.55744011933971,23,2.07311625250162,2148.5609,3298207.9904,"",35.28501346,-112.1541634,24.76589448,4.3,3.780921415,2072.07,15,15010004,23,23,"Region_9",118.3,6030,554,147,5556,7.88,15.2230769230769,6.7102614379085,15.0088898457287,3.13549421592915,2.63905732961526,-1.92504426368898,4.77322377098434,8.70450228972123,6.31716468674728,4.99043258677874,8.62263370387423
"NLA12_AZ-130",25,0.5979788,2.27598096018329,0.28,0.387833147262077,54,3.40068142471461,78454.9856,3936133.1294,"NLA06608-4627",33.84530018,-111.6185016,622.6993198,16.95,48.18706487,533.25,15,15060203,81,81,"Region_9",581.5,2585,298.5,62,29352,8.495,21.3034823284823,0.513921568627451,15.1857093601087,3.98898404656427,3.2188758248682,-0.514199977164941,6.36561097195872,7.85748078694253,5.69876993283266,4.12713438504509,10.2871159660351
"NLA12_AZ-140",19,0.8886919,1.43447194860284,0.421052631578947,0.155797639204318,42,0.512331209337819,443085.4174,15460082.8485,"",32.8056793,-109.8626777,5.897283111,4.1,1.093999706,1006.44,15,15040005,79,79,"Region_9",201,5310,571,38,7886,8.32,26.3115384615385,6.92941176470588,16.5537719600031,3.73766961828337,2.94443897916644,-0.118004672716062,5.30330490805908,8.57734711423598,6.34738920965601,3.63758615972639,8.97284431443757
"NLA12_AZ-143",12,0.1885466,1.84891444381873,0.166666666666667,0.0823350832101984,23,1.89646365477588,76504.5008,8873514.0715,"",35.11670652,-112.0134231,16.72327332,4,2.795297277,1997.64,15,15060202,23,23,"Region_9",76,11760,1201,75,6488,8.85,21.0025641025641,6.7102614379085,15.9985814507446,3.13549421592915,2.484906649788,-1.66841008779252,4.33073334028633,9.37245922145262,7.09090982207998,4.31748811353631,8.77770959579525
"NLA12_AZ-145",16,0.1901265,2.12821411949918,0.3125,0.562145729290762,18,2.4824195385176,22380.7845,4329043.4378,"NLA06608-4744",33.8293043,-109.090421,48.4485317,3,5.384258583,2403.42,15,15040004,23,23,"Region_9",275,14020,1775,244,11535,9.51,20.0576923076923,6.62928104575163,15.2808571605156,2.89037175789616,2.77258872223978,-1.66006563888745,5.61677109766657,9.54824016058858,7.48155570190952,5.4971682252932,9.35314117060785
"NLA12_AZ-157",11,1.487834,0.532636597606291,0.0909090909090909,0.000609073324040182,10,0.974464208011481,400752.7707,137908038.5733,"",34.03125525,-109.4431103,17.28230542,1.6,1.614787909,2519.09,15,15020001,23,23,"Region_9",82.5,6410,3888,882,22958,9.44,19.7294871794872,6.82124183006536,18.7420976338369,2.30258509299405,2.39789527279837,0.397321371047931,4.41279829334063,8.76561454991472,8.26565016558033,6.78219205600679,10.0414217386254
"NLA12_AZ-R01",21,0.1927531,1.96027081488507,0.380952380952381,0.647243546277596,20,1.87735781191776,15856.3673,29340066.1741,"NLA06608-2217",34.42742317,-111.0867324,24.13835303,9.7,5.230721276,2220,15,15020008,23,23,"Region_9",19.54,4510,253,11,1161,7.03,18.2358974358974,6.71222222222222,17.1944645860992,2.99573227355399,3.04452243772342,-1.64634518365895,2.97246364661464,8.41405243249672,5.53338948872752,2.39789527279837,7.05703698169789
"NLA12_CA-101",42,1.3820898,2.86011980453035,0.619047619047619,0.251927407321869,27,2.37124656588239,208262.4685,20625491.5641,"NLA06608-1781",38.07832575,-122.7433592,335.3416647,10.6,32.51425567,51.12,18,18050005,6,6,"Region_9",212.5,6615,473.5,30.65,1065,7.75,19.4875,7.08320261437909,16.8420383233119,3.29583686600433,3.73766961828337,0.32359670152681,5.35894198836447,8.79709507654906,6.16015191262613,3.42263266238222,6.97073007814353
"NLA12_CA-102",29,5.4335017,2.70226367737677,0.517241379310345,0.204331803190565,11,1.39005089101957,112481.6822,10917008.1935,"NLA06608-1397",33.23504244,-116.7444419,731.021414,2.2,20.2000769,818.28,18,18070303,8,8,"Region_9",690,8830,1390,23.9,49500,8.64,24.1125,7.14228758169935,16.2058325157888,2.39789527279837,3.36729582998647,1.69258380639456,6.5366915975913,9.08591029359801,7.23705902612474,3.17387845893747,10.8097279485568
"NLA12_CA-103",22,0.0280171,2.08113688625536,0.363636363636364,0.50222542661446,26,1.2982948636964,1088.5664,43619.9877,"NLA06608-0201",39.11326334,-120.4389061,574.7253533,19.8,14.56207055,1592.46,18,18020128,5,5,"Region_9",27,1620,322,4.1,12900,7.5,17.7475,7.12692810457516,10.6832707577748,3.25809653802148,3.09104245335832,-3.5749402409313,3.29583686600433,7.39018142822643,5.77455154554441,1.41098697371026,9.46498259034976
"NLA12_CA-104",31,0.0506435,2.52458317322963,0.451612903225806,0.247881761726579,25,0.713155346497374,104703.1864,928642.0845,"NLA06608-0181",37.78873902,-119.0738863,118.8169149,29.9,4.627384423,2323.16,18,18090101,5,5,"Region_9",292,6820,435,4.9,483,7.76,15.296,7.2462091503268,13.7414786739158,3.2188758248682,3.43398720448515,-2.98294438821072,5.67675380226828,8.82761475083751,6.07534603108868,1.58923520511658,6.18001665365257
"NLA12_CA-105",27,0.1468984,2.2906789213701,0.518518518518518,0.249068063368968,22,2.13714111069797,118733.3149,7434357.0124,"NLA06608-1269",38.50847142,-121.5353649,21.36925395,4.3,3.719279733,3.21,18,18020109,7,7,"Region_9",772,4390,551,688,18100,9.02,23.975,7.25954248366013,15.8216226529531,3.09104245335832,3.29583686600433,-1.91801408762473,6.64898455002478,8.38708450606922,6.31173480915291,6.53378883793334,9.80366721725392
"NLA12_CA-106",12,13.4374416,1.09835114816047,0.916666666666667,0.947063345748792,23,2.12071597585231,1937178.6253,58303587.1502,"NLA06608-0173",33.07900474,-115.512784,62.78533719,2.7,3.204951638,-53.27,18,18100200,81,81,"Region_9",2632,28100,3830,591,8480,9.49,25.2625,7.1037908496732,17.8811741785908,3.13549421592915,2.484906649788,2.59804495983193,7.87549929244521,10.2435248553218,8.25062008217469,6.3818160174061,9.04546572878595
"NLA12_CA-107",25,0.0665665,2.21639722884669,0.4,0.644324096955676,28,1.05688910001244,23970.5192,1959680.3898,"NLA06608-0649",38.47629345,-119.9996916,70.01844691,8.3,5.032435184,2227.25,18,18040010,5,5,"Region_9",30,3070,149,10.2,935000,7.75,18.5375,7.27267973856209,14.4882919514814,3.3322045101752,3.2188758248682,-2.70955383098724,3.40119738166216,8.02943284058124,5.00394630594546,2.32238772029023,13.7483018082708
"NLA12_CA-108",28,0.0436166,1.60300654223371,0.321428571428571,0.653854266494867,23,2.24040711322506,745.868,265805.3237,"NLA06608-0693",37.14922318,-119.5111573,69.77191048,14,9.869399505,300.34,18,18040006,6,6,"Region_9",29,1490,156,4.8,7480,6.35,18.6178571428571,7.2462091503268,12.4905194540299,3.13549421592915,3.3322045101752,-3.13231746714297,3.36729582998647,7.30653139893951,5.04985600724954,1.56861591791385,8.91998807096852
"NLA12_CA-111",15,1.4545765,2.0412073358635,0.266666666666667,0.211417550056666,42,2.77489829039937,5427.2273,2541778.5942,"",39.013583,-121.0410833,146.5493939,5.25,14.4411696,488.8,18,18020126,6,6,"Region_9",50,1640,74.1,5.65,8715,7.325,23.865,7.18241830065359,14.7483746278823,3.73766961828337,2.70805020110221,0.374714792963636,3.91202300542815,7.40245152081824,4.30541553230204,1.73165554515835,9.07280095795412
"NLA12_CA-112",18,0.751064,1.07321621956066,0.222222222222222,0.0201375648413451,23,2.30070125560216,1109.8912,888684.3482,"",39.37366934,-121.2786137,21.60541441,6.3,3.383860377,425.25,18,18020125,6,6,"Region_9",124,1840,167,7.5,20200,8.03,25.75,7.18241830065359,13.6974973875539,3.13549421592915,2.89037175789616,-0.286264411141938,4.82028156560504,7.51752085060303,5.11799381241676,2.01490302054226,9.9134378833893
"NLA12_CA-116",17,0.012687,2.13984270176733,0.235294117647059,0.118601718294317,18,2.23517629422747,5508.2197,1030058.8047,"",41.22806098,-122.3816476,19.58614266,34.5,1.855488603,1658,18,18020005,78,78,"Region_9",40,1590,62.6,62.6,3920,7.7,6.70555555555556,6.89986928104575,13.8451264505179,2.89037175789616,2.83321334405622,-4.36717743182368,3.68887945411394,7.37148929521428,4.13676527810605,4.13676527810605,8.27384693278451
"NLA12_CA-119",19,0.0545121,1.96999509448993,0.210526315789474,0.0710814663166526,15,2.09679589660175,3222.9156,757410.458,"",37.95383641,-120.4968436,4470.73541,33,205.1316367,332.34,18,18040010,6,6,"Region_9",58,1920,114,4.1,10200,6.67,17.9592592592593,7.34993464052288,13.5376606021179,2.70805020110221,2.94443897916644,-2.90933258360674,4.06044301054642,7.56008046502183,4.7361984483945,1.41098697371026,9.23014299927236
"NLA12_CA-121",25,0.3031176,2.0719119926407,0.24,0.261266584322388,13,1.31108351152854,83871.0594,2146602.4593,"",36.08284307,-118.9092314,1005.9283,14.3,42.22641737,199.55,18,18030006,6,6,"Region_9",200,4200,334,12.3,21400,8.07,20.1366666666667,7.14745098039216,14.5793968987011,2.56494935746154,3.2188758248682,-1.19363442995951,5.29831736654804,8.34283980427146,5.8111409929767,2.50959926237837,9.97114620100994
"NLA12_CA-123",20,0.3479394,1.67185820371829,0.3,0.433462551237371,19,1.85662936025621,4572.2811,2377413.3089,"",38.76397086,-119.9656214,10.42702163,5.7,1.381916533,2445.3,16,16050201,5,5,"Region_9",27,2840,145,9.7,4250,6.4,19.4833333333333,7.27267973856209,14.6815236096033,2.94443897916644,2.99573227355399,-1.05572695230247,3.29583686600433,7.95155933115525,4.97673374242057,2.27212588550934,8.35467426191846
"NLA12_CA-128",18,1.3225133,2.09802659246039,0.222222222222222,0.262308439544616,27,2.85755565778108,3158.0739,1630821.6791,"",39.72615676,-122.8416693,1.033384661,3.5,0.418172977,1811.55,18,18010104,78,78,"Region_9",156,4320,340,29.5,1540,6.95,18.5166666666667,7.21039215686274,14.3045945433758,3.29583686600433,2.89037175789616,0.279533941410524,5.04985600724954,8.37101068123816,5.82894561761021,3.38439026334577,7.33953769540767
"NLA12_CA-132",20,0.3840092,1.90610322820619,0.25,0.4378350831178,15,2.09636933915767,22519.9468,1803290.8614,"",40.50757762,-122.6943291,36.17217915,9.6,4.202623881,613.92,18,18020113,78,78,"Region_9",67,1480,137,11.6,22200,6.81,18.275,7.06751633986928,14.4051238099733,2.70805020110221,2.99573227355399,-0.957088768348073,4.20469261939097,7.29979736675816,4.91998092582813,2.45100509811232,10.0078475678604
"NLA12_CA-135",18,0.1221324,1.97447991309034,0.277777777777778,0.593278278327455,26,2.43340569433604,740.9535,186786.7924,"",38.69849847,-120.0450767,245.7747884,16,9.830316262,2378.19,18,18020129,5,5,"Region_9",23,1530,78,5.6,5000,6.68,17.840625,7.16117647058824,12.1377230977804,3.25809653802148,2.89037175789616,-2.10264957680087,3.13549421592915,7.33302301438648,4.35670882668959,1.7227665977411,8.51719319141624
"NLA12_CA-138",15,0.0075699,1.68100360265718,0.133333333333333,0.0455488183463454,13,1.31783772234865,9946.7073,1512898.8617,"",40.51311798,-121.1651745,8.907100118,1.3,1.336509,1976.21,18,18080003,4,4,"Region_9",24,4990,333,10.5,6440,7.6,17.175,7.04522875816993,14.2295381443366,2.56494935746154,2.70805020110221,-4.88357542165966,3.17805383034795,8.51519118874556,5.80814248998044,2.35137525716348,8.7702838190984
"NLA12_CA-141",16,0.3849322,1.59358599439816,0.1875,0.0185032584959117,13,1.50200124610752,41059.8507,37734621.1684,"",39.09599481,-122.9319835,1.613422335,3.7,0.551743677,455.8,18,18020116,6,6,"Region_9",205,8080,778,33.7,3650,7.6,21.3214285714286,7.21039215686274,17.4460885643874,2.56494935746154,2.77258872223978,-0.954688064098569,5.32300997913841,8.99714715151514,6.65672652417839,3.51749783735832,8.20248244657654
"NLA12_CA-143",15,0.0687404,1.98497001588288,0.133333333333333,0.0201046255186179,21,1.85374247221504,2824.2353,2708074.7676,"",37.56448938,-121.9971818,2.481529197,8.3,0.832914483,13.06,18,18050004,6,6,"Region_9",660,4410,339,26.8,6190,8.59,18.7375,7.30751633986928,14.8117485225298,3.04452243772342,2.70805020110221,-2.67741818854916,6.49223983502047,8.39162996844089,5.82600010738045,3.28840188751681,8.73069036567864
"NLA12_CA-145",22,2.7100364,1.76910984209338,0.272727272727273,0.677165886037545,14,1.44716767899368,50028.2776,3945224.9013,"",37.24681552,-121.8722039,4.667632946,3.5,0.843198756,55.78,18,18050003,6,6,"Region_9",528,5590,428,33.6,13600,8.66,23.55,7.30751633986928,15.1880165198387,2.63905732961526,3.09104245335832,0.996962066535722,6.26909628370626,8.62873456614915,6.0591231955818,3.51452606696916,9.51782507172414
"NLA12_CA-154",14,0.3644802,0.889445120442277,0.142857142857143,0.00548342543710193,25,0.478056903851792,565331.9787,3986136.4906,"",40.63158462,-120.00287,37.07423963,3,3.634373951,1329.45,16,16040203,80,80,"Region_9",226,2450,282,166,39900,8.34,20.77,7.1397385620915,15.1983330216674,3.2188758248682,2.63905732961526,-1.00928304999652,5.42053499927229,7.80384330353877,5.64190707093811,5.11198778835654,10.594131602878
"NLA12_CA-156",10,0.6412211,1.09359074888408,0.2,0.330339722133286,13,2.05421092925855,19167.776,1683895.9282,"",34.49328953,-117.2618539,76.83942876,2.7,10.93337987,846.17,18,18090208,14,14,"Region_9",354,2760,443,53,11900,8.58,24.79,7.30464052287582,14.3366206715184,2.56494935746154,2.30258509299405,-0.444380951738882,5.86929691313377,7.9229859587112,6.09356977004514,3.97029191355212,9.38429367909962
"NLA12_CA-157",18,0.1012057,1.72853436849977,0.222222222222222,0.5251255611097,11,1.10075995815444,562344.61,13914632.9472,"",37.3732653,-120.4335059,168.429028,7.2,6.552443235,76.93,18,18040001,7,7,"Region_9",45,2000,69.8,4.1,7740,6.62,17.9785714285714,7.34993464052288,16.4484515743837,2.39789527279837,2.89037175789616,-2.29060019960424,3.80666248977032,7.60090245954208,4.24563400976833,1.41098697371026,8.95415696658377
"NLA12_CA-166",16,0.118011,1.65948924802494,0.3125,0.548942047775207,21,2.28742938804156,4182.6653,204436.847,"",39.76106147,-120.7127085,12.60971255,6.7,1.465793782,1884.91,18,18020123,5,5,"Region_9",14,1930,162,4.1,3080,6.55,20.9928571428571,7.12692810457516,12.2280143901454,3.04452243772342,2.77258872223978,-2.13697743852224,2.63905732961526,7.56527528189893,5.08759633523238,1.41098697371026,8.03268487596762
"NLA12_CA-167",27,0.053727,1.58009683964112,0.222222222222222,0.60040389375919,26,1.6429879117314,4118.4875,282414.3396,"",39.30959639,-120.578516,10.09473893,8.3,1.381695947,1797.3,18,18020128,5,5,"Region_9",31,3380,112,4.1,7670,7.14,17.375,7.12692810457516,12.5511305609325,3.25809653802148,3.29583686600433,-2.92383961052942,3.43398720448515,8.12563098847706,4.71849887129509,1.41098697371026,8.9450718943613
"NLA12_CA-168",13,0.6587452,1.19754946195129,0.230769230769231,0.847143933648397,22,2.61219870342216,69646.7718,87538256.6493,"NLA06608-1653",33.8011914,-117.8101552,70.10301509,24.1,6.407347731,98.57,18,18070203,85,85,"Region_9",870,7670,2380,434,12600,9.66,19.5875,7.17019607843137,18.2875864746247,3.09104245335832,2.56494935746154,-0.417418465680626,6.76849321164863,8.9450718943613,7.77485576666552,6.07304453410041,9.44145209293957
"NLA12_CA-172",18,0.1802947,1.47641583278032,0.333333333333333,0.581816880917742,28,1.3487474482775,1287.3004,129351.2107,"",33.15989079,-117.0432688,25.61192863,12.8,3.075259305,314.7,18,18070303,85,85,"Region_9",680,28100,265,14.8,6860,8.44,20.5807692307692,7.17019607843137,11.7702865474467,3.3322045101752,2.89037175789616,-1.71316254465694,6.52209279817015,10.2435248553218,5.57972982598622,2.69462718077007,8.83346272071993
"NLA12_CA-174",22,0.0518434,1.90875700442307,0.318181818181818,0.228991539906719,7,1.2909577979594,52457.2471,1457958.6705,"",37.91390879,-121.6012966,15.33535344,6,2.569955959,0,18,18040003,7,7,"Region_9",390,4130,731,77.7,12400,8,21.0666666666667,7.30751633986928,14.1925478444411,1.94591014905531,3.09104245335832,-2.95952764266906,5.96614673912369,8.32603268595508,6.59441345974978,4.3528552573736,9.42545175159313
