"SITEID_07","zpSR","zpDen","zpDiv.Sh","Omni","W.Omni","phySR","phyDiv.Sh","phyDen.Ind","phyDen.BioV","LAT_DD","LON_DD","LakeArea","LakeDepth","LakePerim","LakeEleva","HUC_2","HUC_8","ECO3","EPA_REG","Cond","DOC","NTL","PTL","Silica","pH","Temp","Sol","ECO_L3_NAM","NUT_REG","NUTREG_NAME","ECO_NUTA","ECO3_X_ORIGIN","STATE","DATE","ln_phyDen","ln_phySR","ln_zpDen","ln_zpSR","ln_NTL","ln_PTL","Lat","ln_DOC","ln_Silica","ln_Temp","ln_Sol","Omni2"
"NLA06608-0029",18,6.76902038786673,2.50588782786038,3.37709926618796,0.48852157943067,38,2.19759222369956,247611.95538617,9021923.503075,38.756011,-75.21503793,73.10037419,1.7,11.55985109,1.87,2,2040207,63,"Region_3",141.7,4120,2106,247,2111,-0.842913869100424,24.625,5.747908497,"Middle Atlantic Coastal Plain","XIV","Eastern Coastal Plain","CPL","PLNLOW MAN-MADE","DE","7/2/2007",0.914018031764546,1.09759999505924,-0.282552946128851,1.0116008437681,1.17946001872472,1.36435900167443,-0.372617360885512,-0.366840588099954,-0.566545592205214,0.632288662310839,-0.0239824074821503,5.1694323013774
"NLA06608-0031",18,6.38791025403301,1.58546773204995,1.52681251858844,0.0609579100145138,29,1.27183835408189,21128.000003774,5783021.660436,39.776454,-81.51745185,24.24953577,4.9,5.281606466,241.93,5,5030201,70,"Region_5",357.1,3830,428,32,4167,0.352747302267033,18.95,5.732418301,"Western Allegheny Plateau","XI","The Central and Eastern Forested Uplands","XI","EHIGH MAN-MADE","OH","6/13/2007",0.669265244853187,0.508286606386925,-0.325521636063429,1.0116008437681,-0.331800684868271,0.0643242202163072,-0.169628573275805,-0.454165021004353,-0.0556578006884347,-0.288276614454193,-0.0568746905407591,0.661744557980187
"NLA06608-0033",16,14.1923639042891,1.41067655284491,-0.971074590670912,0.0051063829787234,45,3.09613853150165,62738.0881082,13013902.772544,47.311084,-121.2990598,15.16448355,1.4,1.777959372,732.43,17,17030001,77,"Region_10",109.5,10110,835,67,10543,-0.619548595328482,20.433333,5.167973856,"North Cascades","II","Western Forested Mountains","II","WMTNS NATURAL","WA","7/17/2007",1.11564046771341,1.46623673133592,0.266406699567936,0.69496602046179,0.302047789086898,0.534398983252769,1.32917675812215,0.707148288645212,0.64171798845337,-0.0234362524920592,-1.32032682968682,-0.0278835921200293
"NLA06608-0036",21,28.5522402379353,2.83421372597269,1.36821651165134,0.0295698924731183,41,2.20775087332542,41696.790118192,6042046.7965845,37.477354,-88.32737922,12.02760537,5,1.782974479,113.39,5,5140203,72,"Region_5",133.5,4070,178,8,1376,0.287051633510581,26.883333,5.933398693,"Interior River Valleys and Hills","IX","Southeastern Temperate Forested Plains and Hills","IX","PLNLOW MAN-MADE","IL","7/12/2007",0.693379160132711,1.26327189451486,0.784730723133479,1.42600239996545,-1.16390198382292,-0.817543389443283,-0.626970650778887,-0.381449022052647,-0.888073773535471,0.940636917226708,0.363147848613281,0.433648747665139
"NLA06608-0037",20,136,1.94067061189941,1.19376090402053,0.0632352941176471,52,2.74859105327966,20136.02491256,4181611.7442049,41.696993,-73.36398551,236.955581,13,14.01149575,211.27,1,1100005,58,"Region_1",98.02,3380,239,14,644,-1.13197481162882,16.935714,5.731176471,"Northeastern Highlands","VIII","Nutrient Poor Largely Glaciated Upper Midwest and Northeast","VIII","EHIGH NATURAL","CT","7/13/2007",0.490829182790055,1.78146685433391,1.94213530499317,1.29484034488016,-0.884416594718959,-0.461553311812361,0.212409309454694,-0.60370395709123,-1.45846397561477,-0.683196283379603,-0.0595154717222569,0.21160816037371
"NLA06608-0038",16,129.888888888889,2.55436185726376,1.11049800037855,0.264328485885372,40,2.12795326120607,16170.170169782,534521.6052472,44.797591,-71.86971736,220.6478779,11.3,7.974503403,358.73,1,1110000,58,"Region_1",59.7,3270,158,4,3540,-0.514435525318156,16.1,5.095294118,"Northeastern Highlands","VIII","Nutrient Poor Largely Glaciated Upper Midwest and Northeast","VIII","EHIGH NATURAL","VT","7/12/2007",-0.641261380553884,1.20943464767437,1.90804497765822,0.69496602046179,-1.27694477240457,-1.25847719427308,0.829187148966632,-0.643288243270534,-0.178166688828184,-0.861032063266722,-1.4929607121311,0.116294540664068
"NLA06608-0041",12,3.41182267480925,3.02478519097637,-0.693531578530983,0.00547045951859956,30,2.06650870004047,851.201369797,883078.703892294,38.226941,-80.85405519,1071.509332,43,100.9848431,501.84,5,5050005,69,"Region_3",82.91,1240,476,1,2505,-0.842913869100424,17.730769,5.732091503,"Central Appalachians","XI","The Central and Eastern Forested Uplands","XI","EHIGH MAN-MADE","WV","6/12/2007",-0.364968166938362,0.582202082084742,-0.790554247041421,-0.0784064917300982,-0.230986907662197,-2.14034480393267,-0.477861140166342,-1.8034271217266,-0.437983487170871,-0.521977348806267,-0.05756957883102,-0.25740010329959
"NLA06608-0042",20,1.68181587856179,2.0429760885146,-0.138445554251127,0.0487804878048781,34,2.62710922617342,1337.994958054,304787.251668067,44.458235,-107.0403753,77.7184868,13.6,4.314419055,2626,10,10090206,17,"Region_8",21.53,4770,229.5,16,4403.5,-1.84805760107417,9.6,6.374379085,"Middle Rockies","II","Western Forested Mountains","II","WMTNS MAN-MADE","WY","6/22/2007",-0.950418603362944,0.855094996833407,-1.31506320361736,1.29484034488016,-0.922885691131325,-0.376609584613488,0.761681699854748,-0.191573867767261,-0.014185342660221,-2.67805423923859,1.23695716540152,-0.48682672976569
"NLA06608-0043",19,24.2447321655242,2.84652927431572,2.05268348895883,0.10261780104712,68,3.46317026280545,20948.414032051,3884569.0192868,41.553395,-85.44424168,24.24719175,16.5,2.957443479,273.03,4,4050001,56,"Region_5",438.1,7220,645,9,2971,0.61552997729285,13.311765,5.771503268,"Southern Michigan/Northern Indiana Drift Plains","VII","Mostly Glaciated Dairy Region","VII","PLNLOW NATURAL","IN","7/31/2007",0.450277636974793,2.36636221167422,0.663470555690951,1.15694915270048,0.0571790131664475,-0.742617712021616,0.183844476413379,0.304350859644194,-0.309809865292318,-1.52932502057246,0.0259493858952738,1.59687719816509
"NLA06608-0044",17,5.70264602775688,2.62145480903327,4.07367780646072,0.254736842105263,68,3.62178439371412,235189.33485837,167667991.760614,42.404845,-101.7024805,219.8023543,1.6,12.39574206,1097.9,10,10150004,44,"Region_7",274.1,16680,4108,601,2462,0.865173518567373,24.575,6.182026144,"Nebraska Sand Hills","IV","Great Plains Grass and Shrublands","IVnat","PLNLOW NATURAL","NE","7/18/2007",2.52228819682158,2.36636221167422,-0.409663504732562,0.85794251626939,1.81315422854971,1.93001267450371,0.353216801188291,1.30617620713497,-0.450991461351135,0.625146042292794,0.863484709788659,7.74779373733682
"NLA06608-0045",21,10.3003025160481,2.52429195994708,3.27136859489656,0.176934097421203,38,1.10927621220803,496875.80236044,16020161.5567144,37.293205,-77.88986113,28.83819816,2.1,4.086368816,65.73,2,2080207,45,"Region_3",103.3,4790,648,54,20583,-0.645826862831064,26.133333,5.815816993,"Piedmont","IX","Southeastern Temperate Forested Plains and Hills","IX","EHIGH MAN-MADE","VA","6/26/2007",1.23001723684888,1.09759999505924,0.0287366456884803,1.42600239996545,0.0615801203970832,0.397179638763706,-0.663601978789898,-0.186567936294763,1.14431838150985,0.841203968456934,0.119177834701164,4.82021584602415
"NLA06608-0048",17,5.89551911289261,2.37630558623469,4.85732866426758,0.883374689826303,24,1.25453725244477,289264.042325577,27101091.8420514,36.787297,-89.17572548,5.61794831,3,1.079810471,92.55,8,8020201,73,"Region_7",223.9,4770,773,111,4164,0.589251709790269,29.5,5.781960784,"Mississippi Alluvial Plain","X","Texas-Louisiana Coastal and Mississippi Alluvial Plains","CPL","PLNLOW NATURAL","MO","8/2/2007",1.51934456767023,0.0956827067453098,-0.384999870633109,0.85794251626939,0.22887334349869,0.855542835613013,-0.764238321595964,-0.191573867767261,-0.0561988647144548,1.26704603883638,0.0480145688201013,11.2247173856207
"NLA06608-0049",9,9.67032967032967,0.330818184271589,0.41664047002873,0.148484848484848,19,1.58290169079651,2866.285714371,3544152.4131035,45.062327,-117.1533553,12.89054746,3.7,1.95649328,2107.88,17,17050201,11,"Region_10",91.89,1880,256,15,7447,-0.133400646530724,17.575,6.250065359,"Blue Mountains","II","Western Forested Mountains","II","WMTNS MAN-MADE","OR","8/15/2007",0.399804425578251,-0.413667219781573,-0.0180593641172853,-0.851779003921986,-0.819245803050719,-0.41766466855726,0.8818490219734,-1.30552621532386,0.380539237590665,-0.552986556508523,0.99690151156989,-0.410111495041094
"NLA06608-0050",19,52.695652173913,2.08751674289949,0.299780254390865,0.0767326732673267,36,2.31505611500265,23979.970370174,38118998.415804,43.446018,-71.80868659,11.97907093,4.9,1.372465095,196.17,1,1070003,58,"Region_1",25.53,5140,303,16,4906,-1.26336614914173,15.452,5.355751634,"Northeastern Highlands","VIII","Nutrient Poor Largely Glaciated Upper Midwest and Northeast","VIII","EHIGH NATURAL","NH","7/2/2007",1.70708642686723,0.979717355996486,1.23911334778014,1.15694915270048,-0.659381677894997,-0.376609584613488,0.560329246432132,-0.102193496594787,0.0669960580888547,-1.00539698496807,-0.885304174441377,-0.451703222672091
"NLA06608-0053",15,3.63354290846738,2.3438334647066,0.860709289452615,0.0539325842696629,36,3.32538812412648,1279.789890968,1534387.7996763,43.558193,-73.43960723,470.73915,5.3,23.455266,28.85,2,2010001,83,"Region_2",196,2880,246,29,3359,0.0111298247334738,21.15,5.474117647,"Eastern Great Lakes and Hudson Lowlands","VII","Mostly Glaciated Dairy Region","VII","EHIGH NATURAL","NY","8/23/2007",-0.0609212399399595,0.979717355996486,-0.7438689722693,0.521467832688276,-0.857037133282017,0.00170324003976646,0.582643346533871,-0.795232689605606,-0.217595766999396,0.0977054328240199,-0.618856341889939,-0.128317167204115
"NLA06608-0057",17,7.06962327134001,2.39608426537086,3.6818523775573,0.500843170320405,43,1.69616929814524,1092204.44449292,69232027.099746,34.961892,-80.51686138,53.02839363,3.7,9.688983502,149.57,3,3040105,45,"Region_4",158.3,9700,1756,218,1269,-0.672105130333645,24.36,5.862679739,"Piedmont","IX","Southeastern Temperate Forested Plains and Hills","IX","EHIGH MAN-MADE","NC","6/16/2007",2.03550143955827,1.36711522095838,-0.250334645693739,0.85794251626939,1.00707979142921,1.28491026701039,-1.12735193778687,0.657617691275843,-0.948890031996807,0.594266265158254,0.216999311257963,6.23814382328896
"NLA06608-0061",14,0.898365865066932,2.36898777827565,0.0994484561545259,0.173553719008264,53,2.64639281771033,20613.474299744,49712153.6709601,34.245582,-113.5793644,572.3287327,15.3,23.93314962,335,15,15030204,81,"Region_9",777.6,6100,488,19.5,16750,0.641808244795431,18.764706,6.776601307,"Sonoran Basin and Range","III","Xeric West","III","WMTNS MAN-MADE","AZ","6/12/2007",1.85322150237143,1.82299759032832,-1.78001531665831,0.335995064467242,-0.207373150827593,-0.250766098343691,-1.26984191366275,0.102675603589972,0.989506792983041,-0.322807412856154,1.98277797650772,-0.491435530539723
"NLA06608-0062",14,6.35964912280702,2.26562663372787,1.05102449777714,0.107539450613676,53,2.75441451508505,194756.576907892,4250276.6709414,47.32068,-99.74629427,54.29856165,2.7,2.944960258,562.29,10,10130103,42,"Region_8",3835,28530,2834,152,14069,1.27248666485739,21.333333,5.399803922,"Northwestern Glaciated Plains","V","South Central Cultivated Great Plains","V","PLNLOW NATURAL","ND","8/9/2007",0.499792726063312,1.82299759032832,-0.3288093793563,0.335995064467242,1.4610497293736,1.05551145170057,1.33108561575154,1.94834736595715,0.858467385903379,0.128035771161936,-0.785458525566728,0.0524306440613377
"NLA06608-0064",9,3.46933037679899,1.86557448423988,1.89686986810835,0.125382262996942,45,2.37245913822837,247275.572911236,14964135.9375379,48.894061,-112.1680165,25.20779145,2.5,2.061268745,1208,10,10050002,42,"Region_8",2504,33650,3366,2047,22655,0.904590919821245,13.122,5.778366013,"Northwestern Glaciated Plains","V","South Central Cultivated Great Plains","V","PLNLOW NATURAL","MT","6/18/2007",1.19248874982815,1.46623673133592,-0.778160301086282,-0.851779003921986,1.6242149778324,2.70961636151438,1.64406605820462,2.1458240507111,1.21637625549392,-1.57978151182895,0.0404341670307243,1.29115600782345
"NLA06608-0065",21,12.3161774511007,2.77468113336014,2.63698456714816,0.167171935902988,58,2.36135405868503,32988.975455244,3608219.6600456,48.962434,-115.116608,89.52258877,17.1,7.365625253,766.43,17,17010101,15,"Region_8",195.65,1300,70.5,1,4508,0.516986474158168,14.727778,5.691960784,"Northern Rockies","II","Western Forested Mountains","II","WMTNS NATURAL","MT","7/17/2007",0.409663986792343,2.01955382122773,0.161270660675205,1.42600239996545,-2.04231659046905,-2.14034480393267,1.65766696719732,-1.74689302008185,0.00343481976109744,-1.17408784490852,-0.143204250769679,2.95816805576425
"NLA06608-0066",25,6.88151770458964,2.75135598831998,0.860709289452615,0.074486301369863,55,2.1620696230429,21104.083881199,7865219.75240388,39.768514,-79.38081778,1094.588775,20.5,59.92548558,439.26,5,5020006,69,"Region_3",114.6,1630,665,7,1970,-0.856053002851715,14.568182,5.627124183,"Central Appalachians","XI","The Central and Eastern Forested Uplands","XI","EHIGH MAN-MADE","PA","6/12/2007",0.838507670972086,1.90375859038217,-0.270331097069432,1.89471466929854,0.0861411690729012,-0.902487116642156,-0.171208015707789,-1.47624490485152,-0.618479372670324,-1.21237658361113,-0.282842618146718,-0.128317167204115
"NLA06608-0068",11,18.4623655913978,1.29410249117192,1.82958671365018,0.649970879440885,44,3.4089619632993,485.939723227,398375.82185468,37.824476,-107.8853911,50.09896936,18.6,3.228855235,2959.6,14,14030003,21,"Region_8",190.4,1120,168,1,6286,-0.146539780282014,8.142105,6.555294118,"Southern Rockies","II","Western Forested Mountains","II","WMTNS MAN-MADE","CO","7/9/2007",-0.803047908563003,1.41723921504274,0.461440766579974,-0.312318207667922,-1.21874019876042,-2.14034480393267,-0.557920371701412,-1.92520155315008,0.253209689835128,-3.25688811901434,1.5780766647421,1.16659717029193
"NLA06608-0069",23,4.52442435980202,2.87194973006189,2.83005796689767,0.141498216409037,33,2.45962611765771,7653.508727728,4777924.81426535,28.63736,-81.13759704,24.47044676,3.4,2.398919112,11.26,3,3080101,75,"Region_4",145.9,13240,420,39,1233,-1.0137226078672,30.775,5.46496732,"Southern Coastal Plain","XII","Southeastern Coastal Plain","CPL","PLNLOW NATURAL","FL","7/18/2007",0.56419458365194,0.790006649453103,-0.581273657688105,1.67056081839563,-0.349696251748527,0.190167706486104,-2.3854418878172,1.02984260871926,-0.970510728938183,1.41573894477104,-0.639247731067164,3.48254915938112
